sample_id,complexity_label,method,strength,replicate,top1,rank,rr
00076659,low,baseline,0,0,1,1,1.0
00076659,low,robust,0,0,1,1,1.0
00076659,low,baseline,0,1,1,1,1.0
00076659,low,robust,0,1,1,1,1.0
00076659,low,baseline,1,0,1,1,1.0
00076659,low,robust,1,0,1,1,1.0
00076659,low,baseline,1,1,1,1,1.0
00076659,low,robust,1,1,1,1,1.0
00076659,low,baseline,2,0,1,1,1.0
00076659,low,robust,2,0,1,1,1.0
00076659,low,baseline,2,1,0,2,0.5
00076659,low,robust,2,1,1,1,1.0
00076659,low,baseline,3,0,0,2,0.5
00076659,low,robust,3,0,1,1,1.0
00076659,low,baseline,3,1,1,1,1.0
00076659,low,robust,3,1,1,1,1.0
00076659,low,baseline,4,0,0,2,0.5
00076659,low,robust,4,0,1,1,1.0
00076659,low,baseline,4,1,0,17,0.058824
00076659,low,robust,4,1,0,2,0.5
00214388,low,baseline,0,0,1,1,1.0
00214388,low,robust,0,0,1,1,1.0
00214388,low,baseline,0,1,1,1,1.0
00214388,low,robust,0,1,1,1,1.0
00214388,low,baseline,1,0,1,1,1.0
00214388,low,robust,1,0,0,3,0.333333
00214388,low,baseline,1,1,1,1,1.0
00214388,low,robust,1,1,0,2,0.5
00214388,low,baseline,2,0,1,1,1.0
00214388,low,robust,2,0,0,5,0.2
00214388,low,baseline,2,1,1,1,1.0
00214388,low,robust,2,1,0,4,0.25
00214388,low,baseline,3,0,0,16,0.0625
00214388,low,robust,3,0,0,3,0.333333
00214388,low,baseline,3,1,1,1,1.0
00214388,low,robust,3,1,0,4,0.25
00214388,low,baseline,4,0,0,4,0.25
00214388,low,robust,4,0,0,6,0.166667
00214388,low,baseline,4,1,0,68,0.014706
00214388,low,robust,4,1,0,8,0.125
00017284,low,baseline,0,0,1,1,1.0
00017284,low,robust,0,0,1,1,1.0
00017284,low,baseline,0,1,1,1,1.0
00017284,low,robust,0,1,1,1,1.0
00017284,low,baseline,1,0,1,1,1.0
00017284,low,robust,1,0,1,1,1.0
00017284,low,baseline,1,1,1,1,1.0
00017284,low,robust,1,1,1,1,1.0
00017284,low,baseline,2,0,1,1,1.0
00017284,low,robust,2,0,1,1,1.0
00017284,low,baseline,2,1,1,1,1.0
00017284,low,robust,2,1,1,1,1.0
00017284,low,baseline,3,0,0,2,0.5
00017284,low,robust,3,0,1,1,1.0
00017284,low,baseline,3,1,0,2,0.5
00017284,low,robust,3,1,1,1,1.0
00017284,low,baseline,4,0,1,1,1.0
00017284,low,robust,4,0,1,1,1.0
00017284,low,baseline,4,1,1,1,1.0
00017284,low,robust,4,1,1,1,1.0
00168914,low,baseline,0,0,1,1,1.0
00168914,low,robust,0,0,1,1,1.0
00168914,low,baseline,0,1,1,1,1.0
00168914,low,robust,0,1,1,1,1.0
00168914,low,baseline,1,0,1,1,1.0
00168914,low,robust,1,0,1,1,1.0
00168914,low,baseline,1,1,1,1,1.0
00168914,low,robust,1,1,1,1,1.0
00168914,low,baseline,2,0,1,1,1.0
00168914,low,robust,2,0,1,1,1.0
00168914,low,baseline,2,1,0,2,0.5
00168914,low,robust,2,1,0,8,0.125
00168914,low,baseline,3,0,0,2,0.5
00168914,low,robust,3,0,0,153,0.006536
00168914,low,baseline,3,1,1,1,1.0
00168914,low,robust,3,1,1,1,1.0
00168914,low,baseline,4,0,0,2,0.5
00168914,low,robust,4,0,1,1,1.0
00168914,low,baseline,4,1,1,1,1.0
00168914,low,robust,4,1,1,1,1.0
00089049,low,baseline,0,0,1,1,1.0
00089049,low,robust,0,0,1,1,1.0
00089049,low,baseline,0,1,1,1,1.0
00089049,low,robust,0,1,1,1,1.0
00089049,low,baseline,1,0,1,1,1.0
00089049,low,robust,1,0,1,1,1.0
00089049,low,baseline,1,1,1,1,1.0
00089049,low,robust,1,1,1,1,1.0
00089049,low,baseline,2,0,1,1,1.0
00089049,low,robust,2,0,1,1,1.0
00089049,low,baseline,2,1,1,1,1.0
00089049,low,robust,2,1,1,1,1.0
00089049,low,baseline,3,0,1,1,1.0
00089049,low,robust,3,0,1,1,1.0
00089049,low,baseline,3,1,1,1,1.0
00089049,low,robust,3,1,1,1,1.0
00089049,low,baseline,4,0,1,1,1.0
00089049,low,robust,4,0,1,1,1.0
00089049,low,baseline,4,1,1,1,1.0
00089049,low,robust,4,1,0,3,0.333333
00300613,low,baseline,0,0,1,1,1.0
00300613,low,robust,0,0,1,1,1.0
00300613,low,baseline,0,1,1,1,1.0
00300613,low,robust,0,1,1,1,1.0
00300613,low,baseline,1,0,1,1,1.0
00300613,low,robust,1,0,1,1,1.0
00300613,low,baseline,1,1,1,1,1.0
00300613,low,robust,1,1,1,1,1.0
00300613,low,baseline,2,0,0,5,0.2
00300613,low,robust,2,0,0,4,0.25
00300613,low,baseline,2,1,1,1,1.0
00300613,low,robust,2,1,1,1,1.0
00300613,low,baseline,3,0,1,1,1.0
00300613,low,robust,3,0,1,1,1.0
00300613,low,baseline,3,1,1,1,1.0
00300613,low,robust,3,1,1,1,1.0
00300613,low,baseline,4,0,0,6,0.166667
00300613,low,robust,4,0,0,6,0.166667
00300613,low,baseline,4,1,0,217,0.004608
00300613,low,robust,4,1,0,5,0.2
00107173,low,baseline,0,0,1,1,1.0
00107173,low,robust,0,0,1,1,1.0
00107173,low,baseline,0,1,1,1,1.0
00107173,low,robust,0,1,1,1,1.0
00107173,low,baseline,1,0,1,1,1.0
00107173,low,robust,1,0,1,1,1.0
00107173,low,baseline,1,1,1,1,1.0
00107173,low,robust,1,1,1,1,1.0
00107173,low,baseline,2,0,1,1,1.0
00107173,low,robust,2,0,1,1,1.0
00107173,low,baseline,2,1,1,1,1.0
00107173,low,robust,2,1,1,1,1.0
00107173,low,baseline,3,0,1,1,1.0
00107173,low,robust,3,0,1,1,1.0
00107173,low,baseline,3,1,1,1,1.0
00107173,low,robust,3,1,1,1,1.0
00107173,low,baseline,4,0,1,1,1.0
00107173,low,robust,4,0,1,1,1.0
00107173,low,baseline,4,1,1,1,1.0
00107173,low,robust,4,1,1,1,1.0
00047421,low,baseline,0,0,1,1,1.0
00047421,low,robust,0,0,1,1,1.0
00047421,low,baseline,0,1,1,1,1.0
00047421,low,robust,0,1,1,1,1.0
00047421,low,baseline,1,0,1,1,1.0
00047421,low,robust,1,0,1,1,1.0
00047421,low,baseline,1,1,1,1,1.0
00047421,low,robust,1,1,1,1,1.0
00047421,low,baseline,2,0,1,1,1.0
00047421,low,robust,2,0,1,1,1.0
00047421,low,baseline,2,1,1,1,1.0
00047421,low,robust,2,1,1,1,1.0
00047421,low,baseline,3,0,1,1,1.0
00047421,low,robust,3,0,1,1,1.0
00047421,low,baseline,3,1,0,3,0.333333
00047421,low,robust,3,1,1,1,1.0
00047421,low,baseline,4,0,1,1,1.0
00047421,low,robust,4,0,1,1,1.0
00047421,low,baseline,4,1,1,1,1.0
00047421,low,robust,4,1,1,1,1.0
00269364,low,baseline,0,0,1,1,1.0
00269364,low,robust,0,0,1,1,1.0
00269364,low,baseline,0,1,1,1,1.0
00269364,low,robust,0,1,1,1,1.0
00269364,low,baseline,1,0,1,1,1.0
00269364,low,robust,1,0,1,1,1.0
00269364,low,baseline,1,1,1,1,1.0
00269364,low,robust,1,1,1,1,1.0
00269364,low,baseline,2,0,1,1,1.0
00269364,low,robust,2,0,1,1,1.0
00269364,low,baseline,2,1,1,1,1.0
00269364,low,robust,2,1,0,3,0.333333
00269364,low,baseline,3,0,1,1,1.0
00269364,low,robust,3,0,1,1,1.0
00269364,low,baseline,3,1,1,1,1.0
00269364,low,robust,3,1,1,1,1.0
00269364,low,baseline,4,0,1,1,1.0
00269364,low,robust,4,0,0,2,0.5
00269364,low,baseline,4,1,1,1,1.0
00269364,low,robust,4,1,1,1,1.0
00277142,low,baseline,0,0,1,1,1.0
00277142,low,robust,0,0,1,1,1.0
00277142,low,baseline,0,1,1,1,1.0
00277142,low,robust,0,1,1,1,1.0
00277142,low,baseline,1,0,1,1,1.0
00277142,low,robust,1,0,1,1,1.0
00277142,low,baseline,1,1,1,1,1.0
00277142,low,robust,1,1,0,2,0.5
00277142,low,baseline,2,0,1,1,1.0
00277142,low,robust,2,0,0,4,0.25
00277142,low,baseline,2,1,0,3,0.333333
00277142,low,robust,2,1,0,2,0.5
00277142,low,baseline,3,0,0,2,0.5
00277142,low,robust,3,0,0,12,0.083333
00277142,low,baseline,3,1,0,2,0.5
00277142,low,robust,3,1,0,13,0.076923
00277142,low,baseline,4,0,1,1,1.0
00277142,low,robust,4,0,1,1,1.0
00277142,low,baseline,4,1,0,13,0.076923
00277142,low,robust,4,1,0,8,0.125
00138970,low,baseline,0,0,1,1,1.0
00138970,low,robust,0,0,1,1,1.0
00138970,low,baseline,0,1,1,1,1.0
00138970,low,robust,0,1,1,1,1.0
00138970,low,baseline,1,0,1,1,1.0
00138970,low,robust,1,0,1,1,1.0
00138970,low,baseline,1,1,1,1,1.0
00138970,low,robust,1,1,1,1,1.0
00138970,low,baseline,2,0,1,1,1.0
00138970,low,robust,2,0,0,3,0.333333
00138970,low,baseline,2,1,1,1,1.0
00138970,low,robust,2,1,1,1,1.0
00138970,low,baseline,3,0,0,5,0.2
00138970,low,robust,3,0,0,5,0.2
00138970,low,baseline,3,1,1,1,1.0
00138970,low,robust,3,1,1,1,1.0
00138970,low,baseline,4,0,1,1,1.0
00138970,low,robust,4,0,0,5,0.2
00138970,low,baseline,4,1,1,1,1.0
00138970,low,robust,4,1,0,2,0.5
00201721,low,baseline,0,0,1,1,1.0
00201721,low,robust,0,0,1,1,1.0
00201721,low,baseline,0,1,1,1,1.0
00201721,low,robust,0,1,1,1,1.0
00201721,low,baseline,1,0,1,1,1.0
00201721,low,robust,1,0,1,1,1.0
00201721,low,baseline,1,1,1,1,1.0
00201721,low,robust,1,1,1,1,1.0
00201721,low,baseline,2,0,1,1,1.0
00201721,low,robust,2,0,1,1,1.0
00201721,low,baseline,2,1,1,1,1.0
00201721,low,robust,2,1,1,1,1.0
00201721,low,baseline,3,0,1,1,1.0
00201721,low,robust,3,0,0,2,0.5
00201721,low,baseline,3,1,1,1,1.0
00201721,low,robust,3,1,1,1,1.0
00201721,low,baseline,4,0,1,1,1.0
00201721,low,robust,4,0,1,1,1.0
00201721,low,baseline,4,1,1,1,1.0
00201721,low,robust,4,1,1,1,1.0
00017599,low,baseline,0,0,0,4,0.25
00017599,low,robust,0,0,0,4,0.25
00017599,low,baseline,0,1,0,4,0.25
00017599,low,robust,0,1,0,4,0.25
00017599,low,baseline,1,0,0,5,0.2
00017599,low,robust,1,0,0,5,0.2
00017599,low,baseline,1,1,0,5,0.2
00017599,low,robust,1,1,0,5,0.2
00017599,low,baseline,2,0,0,4,0.25
00017599,low,robust,2,0,0,3,0.333333
00017599,low,baseline,2,1,0,4,0.25
00017599,low,robust,2,1,0,6,0.166667
00017599,low,baseline,3,0,0,4,0.25
00017599,low,robust,3,0,0,5,0.2
00017599,low,baseline,3,1,0,5,0.2
00017599,low,robust,3,1,0,25,0.04
00017599,low,baseline,4,0,0,5,0.2
00017599,low,robust,4,0,0,3,0.333333
00017599,low,baseline,4,1,0,6,0.166667
00017599,low,robust,4,1,0,31,0.032258
00280453,low,baseline,0,0,1,1,1.0
00280453,low,robust,0,0,1,1,1.0
00280453,low,baseline,0,1,1,1,1.0
00280453,low,robust,0,1,1,1,1.0
00280453,low,baseline,1,0,1,1,1.0
00280453,low,robust,1,0,1,1,1.0
00280453,low,baseline,1,1,1,1,1.0
00280453,low,robust,1,1,1,1,1.0
00280453,low,baseline,2,0,1,1,1.0
00280453,low,robust,2,0,1,1,1.0
00280453,low,baseline,2,1,0,2,0.5
00280453,low,robust,2,1,1,1,1.0
00280453,low,baseline,3,0,1,1,1.0
00280453,low,robust,3,0,1,1,1.0
00280453,low,baseline,3,1,1,1,1.0
00280453,low,robust,3,1,1,1,1.0
00280453,low,baseline,4,0,1,1,1.0
00280453,low,robust,4,0,1,1,1.0
00280453,low,baseline,4,1,0,21,0.047619
00280453,low,robust,4,1,0,3,0.333333
00249558,low,baseline,0,0,1,1,1.0
00249558,low,robust,0,0,1,1,1.0
00249558,low,baseline,0,1,1,1,1.0
00249558,low,robust,0,1,1,1,1.0
00249558,low,baseline,1,0,1,1,1.0
00249558,low,robust,1,0,1,1,1.0
00249558,low,baseline,1,1,1,1,1.0
00249558,low,robust,1,1,1,1,1.0
00249558,low,baseline,2,0,1,1,1.0
00249558,low,robust,2,0,1,1,1.0
00249558,low,baseline,2,1,1,1,1.0
00249558,low,robust,2,1,1,1,1.0
00249558,low,baseline,3,0,1,1,1.0
00249558,low,robust,3,0,1,1,1.0
00249558,low,baseline,3,1,1,1,1.0
00249558,low,robust,3,1,1,1,1.0
00249558,low,baseline,4,0,1,1,1.0
00249558,low,robust,4,0,1,1,1.0
00249558,low,baseline,4,1,1,1,1.0
00249558,low,robust,4,1,1,1,1.0
00026599,low,baseline,0,0,0,3,0.333333
00026599,low,robust,0,0,0,3,0.333333
00026599,low,baseline,0,1,0,3,0.333333
00026599,low,robust,0,1,0,3,0.333333
00026599,low,baseline,1,0,0,4,0.25
00026599,low,robust,1,0,0,4,0.25
00026599,low,baseline,1,1,0,3,0.333333
00026599,low,robust,1,1,0,4,0.25
00026599,low,baseline,2,0,0,5,0.2
00026599,low,robust,2,0,0,11,0.090909
00026599,low,baseline,2,1,0,4,0.25
00026599,low,robust,2,1,0,5,0.2
00026599,low,baseline,3,0,0,3,0.333333
00026599,low,robust,3,0,0,5,0.2
00026599,low,baseline,3,1,0,3,0.333333
00026599,low,robust,3,1,0,5,0.2
00026599,low,baseline,4,0,0,4,0.25
00026599,low,robust,4,0,0,5,0.2
00026599,low,baseline,4,1,0,4,0.25
00026599,low,robust,4,1,0,5,0.2
00304236,low,baseline,0,0,1,1,1.0
00304236,low,robust,0,0,1,1,1.0
00304236,low,baseline,0,1,1,1,1.0
00304236,low,robust,0,1,1,1,1.0
00304236,low,baseline,1,0,1,1,1.0
00304236,low,robust,1,0,1,1,1.0
00304236,low,baseline,1,1,1,1,1.0
00304236,low,robust,1,1,1,1,1.0
00304236,low,baseline,2,0,1,1,1.0
00304236,low,robust,2,0,1,1,1.0
00304236,low,baseline,2,1,1,1,1.0
00304236,low,robust,2,1,1,1,1.0
00304236,low,baseline,3,0,0,2,0.5
00304236,low,robust,3,0,0,2,0.5
00304236,low,baseline,3,1,1,1,1.0
00304236,low,robust,3,1,1,1,1.0
00304236,low,baseline,4,0,0,24,0.041667
00304236,low,robust,4,0,1,1,1.0
00304236,low,baseline,4,1,1,1,1.0
00304236,low,robust,4,1,1,1,1.0
00137186,low,baseline,0,0,1,1,1.0
00137186,low,robust,0,0,1,1,1.0
00137186,low,baseline,0,1,1,1,1.0
00137186,low,robust,0,1,1,1,1.0
00137186,low,baseline,1,0,1,1,1.0
00137186,low,robust,1,0,1,1,1.0
00137186,low,baseline,1,1,1,1,1.0
00137186,low,robust,1,1,1,1,1.0
00137186,low,baseline,2,0,1,1,1.0
00137186,low,robust,2,0,1,1,1.0
00137186,low,baseline,2,1,1,1,1.0
00137186,low,robust,2,1,1,1,1.0
00137186,low,baseline,3,0,1,1,1.0
00137186,low,robust,3,0,1,1,1.0
00137186,low,baseline,3,1,1,1,1.0
00137186,low,robust,3,1,1,1,1.0
00137186,low,baseline,4,0,1,1,1.0
00137186,low,robust,4,0,1,1,1.0
00137186,low,baseline,4,1,0,2,0.5
00137186,low,robust,4,1,1,1,1.0
00016953,low,baseline,0,0,1,1,1.0
00016953,low,robust,0,0,1,1,1.0
00016953,low,baseline,0,1,1,1,1.0
00016953,low,robust,0,1,1,1,1.0
00016953,low,baseline,1,0,1,1,1.0
00016953,low,robust,1,0,1,1,1.0
00016953,low,baseline,1,1,1,1,1.0
00016953,low,robust,1,1,1,1,1.0
00016953,low,baseline,2,0,1,1,1.0
00016953,low,robust,2,0,1,1,1.0
00016953,low,baseline,2,1,1,1,1.0
00016953,low,robust,2,1,1,1,1.0
00016953,low,baseline,3,0,1,1,1.0
00016953,low,robust,3,0,1,1,1.0
00016953,low,baseline,3,1,1,1,1.0
00016953,low,robust,3,1,1,1,1.0
00016953,low,baseline,4,0,0,5,0.2
00016953,low,robust,4,0,0,14,0.071429
00016953,low,baseline,4,1,1,1,1.0
00016953,low,robust,4,1,1,1,1.0
00307780,low,baseline,0,0,1,1,1.0
00307780,low,robust,0,0,1,1,1.0
00307780,low,baseline,0,1,1,1,1.0
00307780,low,robust,0,1,1,1,1.0
00307780,low,baseline,1,0,1,1,1.0
00307780,low,robust,1,0,1,1,1.0
00307780,low,baseline,1,1,1,1,1.0
00307780,low,robust,1,1,1,1,1.0
00307780,low,baseline,2,0,1,1,1.0
00307780,low,robust,2,0,1,1,1.0
00307780,low,baseline,2,1,1,1,1.0
00307780,low,robust,2,1,1,1,1.0
00307780,low,baseline,3,0,1,1,1.0
00307780,low,robust,3,0,1,1,1.0
00307780,low,baseline,3,1,1,1,1.0
00307780,low,robust,3,1,1,1,1.0
00307780,low,baseline,4,0,0,14,0.071429
00307780,low,robust,4,0,0,5,0.2
00307780,low,baseline,4,1,1,1,1.0
00307780,low,robust,4,1,1,1,1.0
00055078,low,baseline,0,0,1,1,1.0
00055078,low,robust,0,0,1,1,1.0
00055078,low,baseline,0,1,1,1,1.0
00055078,low,robust,0,1,1,1,1.0
00055078,low,baseline,1,0,1,1,1.0
00055078,low,robust,1,0,1,1,1.0
00055078,low,baseline,1,1,1,1,1.0
00055078,low,robust,1,1,1,1,1.0
00055078,low,baseline,2,0,1,1,1.0
00055078,low,robust,2,0,1,1,1.0
00055078,low,baseline,2,1,1,1,1.0
00055078,low,robust,2,1,1,1,1.0
00055078,low,baseline,3,0,1,1,1.0
00055078,low,robust,3,0,0,2,0.5
00055078,low,baseline,3,1,1,1,1.0
00055078,low,robust,3,1,1,1,1.0
00055078,low,baseline,4,0,0,7,0.142857
00055078,low,robust,4,0,0,4,0.25
00055078,low,baseline,4,1,1,1,1.0
00055078,low,robust,4,1,1,1,1.0
00191109,low,baseline,0,0,1,1,1.0
00191109,low,robust,0,0,1,1,1.0
00191109,low,baseline,0,1,1,1,1.0
00191109,low,robust,0,1,1,1,1.0
00191109,low,baseline,1,0,1,1,1.0
00191109,low,robust,1,0,0,3,0.333333
00191109,low,baseline,1,1,1,1,1.0
00191109,low,robust,1,1,1,1,1.0
00191109,low,baseline,2,0,1,1,1.0
00191109,low,robust,2,0,0,2,0.5
00191109,low,baseline,2,1,1,1,1.0
00191109,low,robust,2,1,0,2,0.5
00191109,low,baseline,3,0,0,3,0.333333
00191109,low,robust,3,0,1,1,1.0
00191109,low,baseline,3,1,1,1,1.0
00191109,low,robust,3,1,1,1,1.0
00191109,low,baseline,4,0,0,3,0.333333
00191109,low,robust,4,0,0,3,0.333333
00191109,low,baseline,4,1,0,3,0.333333
00191109,low,robust,4,1,0,3,0.333333
00131227,low,baseline,0,0,1,1,1.0
00131227,low,robust,0,0,1,1,1.0
00131227,low,baseline,0,1,1,1,1.0
00131227,low,robust,0,1,1,1,1.0
00131227,low,baseline,1,0,1,1,1.0
00131227,low,robust,1,0,1,1,1.0
00131227,low,baseline,1,1,1,1,1.0
00131227,low,robust,1,1,1,1,1.0
00131227,low,baseline,2,0,1,1,1.0
00131227,low,robust,2,0,1,1,1.0
00131227,low,baseline,2,1,1,1,1.0
00131227,low,robust,2,1,1,1,1.0
00131227,low,baseline,3,0,0,14,0.071429
00131227,low,robust,3,0,0,15,0.066667
00131227,low,baseline,3,1,1,1,1.0
00131227,low,robust,3,1,1,1,1.0
00131227,low,baseline,4,0,0,9,0.111111
00131227,low,robust,4,0,0,27,0.037037
00131227,low,baseline,4,1,1,1,1.0
00131227,low,robust,4,1,1,1,1.0
00135515,low,baseline,0,0,1,1,1.0
00135515,low,robust,0,0,1,1,1.0
00135515,low,baseline,0,1,1,1,1.0
00135515,low,robust,0,1,1,1,1.0
00135515,low,baseline,1,0,1,1,1.0
00135515,low,robust,1,0,1,1,1.0
00135515,low,baseline,1,1,1,1,1.0
00135515,low,robust,1,1,0,2,0.5
00135515,low,baseline,2,0,1,1,1.0
00135515,low,robust,2,0,1,1,1.0
00135515,low,baseline,2,1,1,1,1.0
00135515,low,robust,2,1,0,3,0.333333
00135515,low,baseline,3,0,1,1,1.0
00135515,low,robust,3,0,0,2,0.5
00135515,low,baseline,3,1,1,1,1.0
00135515,low,robust,3,1,0,2,0.5
00135515,low,baseline,4,0,0,23,0.043478
00135515,low,robust,4,0,0,33,0.030303
00135515,low,baseline,4,1,0,3,0.333333
00135515,low,robust,4,1,0,12,0.083333
00107754,low,baseline,0,0,1,1,1.0
00107754,low,robust,0,0,1,1,1.0
00107754,low,baseline,0,1,1,1,1.0
00107754,low,robust,0,1,1,1,1.0
00107754,low,baseline,1,0,1,1,1.0
00107754,low,robust,1,0,1,1,1.0
00107754,low,baseline,1,1,1,1,1.0
00107754,low,robust,1,1,1,1,1.0
00107754,low,baseline,2,0,0,2,0.5
00107754,low,robust,2,0,0,2,0.5
00107754,low,baseline,2,1,1,1,1.0
00107754,low,robust,2,1,1,1,1.0
00107754,low,baseline,3,0,0,4,0.25
00107754,low,robust,3,0,0,17,0.058824
00107754,low,baseline,3,1,1,1,1.0
00107754,low,robust,3,1,1,1,1.0
00107754,low,baseline,4,0,0,2,0.5
00107754,low,robust,4,0,0,2,0.5
00107754,low,baseline,4,1,1,1,1.0
00107754,low,robust,4,1,1,1,1.0
00250773,low,baseline,0,0,1,1,1.0
00250773,low,robust,0,0,1,1,1.0
00250773,low,baseline,0,1,1,1,1.0
00250773,low,robust,0,1,1,1,1.0
00250773,low,baseline,1,0,1,1,1.0
00250773,low,robust,1,0,1,1,1.0
00250773,low,baseline,1,1,1,1,1.0
00250773,low,robust,1,1,0,2,0.5
00250773,low,baseline,2,0,1,1,1.0
00250773,low,robust,2,0,0,2,0.5
00250773,low,baseline,2,1,1,1,1.0
00250773,low,robust,2,1,1,1,1.0
00250773,low,baseline,3,0,1,1,1.0
00250773,low,robust,3,0,0,4,0.25
00250773,low,baseline,3,1,1,1,1.0
00250773,low,robust,3,1,1,1,1.0
00250773,low,baseline,4,0,1,1,1.0
00250773,low,robust,4,0,0,2,0.5
00250773,low,baseline,4,1,1,1,1.0
00250773,low,robust,4,1,1,1,1.0
00075074,low,baseline,0,0,1,1,1.0
00075074,low,robust,0,0,1,1,1.0
00075074,low,baseline,0,1,1,1,1.0
00075074,low,robust,0,1,1,1,1.0
00075074,low,baseline,1,0,1,1,1.0
00075074,low,robust,1,0,1,1,1.0
00075074,low,baseline,1,1,1,1,1.0
00075074,low,robust,1,1,1,1,1.0
00075074,low,baseline,2,0,1,1,1.0
00075074,low,robust,2,0,1,1,1.0
00075074,low,baseline,2,1,1,1,1.0
00075074,low,robust,2,1,1,1,1.0
00075074,low,baseline,3,0,1,1,1.0
00075074,low,robust,3,0,1,1,1.0
00075074,low,baseline,3,1,1,1,1.0
00075074,low,robust,3,1,1,1,1.0
00075074,low,baseline,4,0,1,1,1.0
00075074,low,robust,4,0,0,2,0.5
00075074,low,baseline,4,1,1,1,1.0
00075074,low,robust,4,1,1,1,1.0
00043287,low,baseline,0,0,0,5,0.2
00043287,low,robust,0,0,0,5,0.2
00043287,low,baseline,0,1,0,5,0.2
00043287,low,robust,0,1,0,5,0.2
00043287,low,baseline,1,0,0,5,0.2
