sample_group,complexity_label,file,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,line_pair_count,sketch_pair_count,curve_pair_count,complexity_score
random_stratified,low,00769021.json,42,21,4,8355.0,2,14,3,2,0.091793
random_stratified,low,00801847.json,28,14,4,7066.0,3,0,4,3,0.056971
random_stratified,low,00805100.json,20,10,4,5294.0,2,0,3,2,0.016288
random_stratified,low,00897517.json,28,14,4,7258.0,2,8,2,2,0.044682
random_stratified,low,00909650.json,34,17,4,5070.0,2,11,2,2,0.061943
random_stratified,low,00951265.json,16,8,4,6182.0,2,0,2,2,0.004152
random_stratified,low,00984148.json,16,8,4,5450.0,2,0,2,2,0.003346
random_stratified,low,00991929.json,20,10,4,5033.0,2,0,3,2,0.016001
random_stratified,medium,00009038.json,42,21,4,17767.0,3,12,3,3,0.114665
random_stratified,medium,00021106.json,44,22,5,12215.0,3,7,3,3,0.190104
random_stratified,medium,00026943.json,50,25,5,9231.0,3,12,5,3,0.206488
random_stratified,medium,00057941.json,60,30,4,13474.0,5,0,10,5,0.19395
random_stratified,medium,00070522.json,36,18,5,7260.0,2,10,2,2,0.145914
random_stratified,medium,00101657.json,64,32,4,13560.0,4,20,4,4,0.19466
random_stratified,medium,00130779.json,44,22,4,9105.0,3,13,3,3,0.111677
random_stratified,medium,00136610.json,44,22,5,9077.0,2,0,6,2,0.174146
random_stratified,medium,00162637.json,60,30,4,9578.0,2,22,4,2,0.152157
random_stratified,medium,00194718.json,36,18,5,13275.0,3,7,3,3,0.165042
random_stratified,medium,00209640.json,52,26,4,19865.0,3,16,4,3,0.149763
random_stratified,medium,00252235.json,58,29,4,9815.0,3,20,3,3,0.158361
random_stratified,medium,00266074.json,50,25,5,11680.0,4,12,4,4,0.221686
random_stratified,medium,00267135.json,36,18,6,7746.0,2,4,4,2,0.22145
random_stratified,medium,00282144.json,40,20,4,10926.0,3,11,3,3,0.100569
random_stratified,medium,00322885.json,42,21,4,11279.0,3,12,3,3,0.107515
random_stratified,medium,00446804.json,52,26,4,8309.0,3,16,4,3,0.137029
random_stratified,medium,00465995.json,42,21,5,18074.0,2,12,2,2,0.177503
random_stratified,medium,00482522.json,44,22,5,9897.0,3,11,3,3,0.187549
random_stratified,medium,00486992.json,42,21,4,9269.0,3,12,3,3,0.1053
random_stratified,medium,00494018.json,50,25,4,14026.0,3,16,3,3,0.136772
random_stratified,medium,00517857.json,44,22,4,8818.0,3,13,3,3,0.11136
random_stratified,medium,00579722.json,42,21,4,10488.0,3,12,3,3,0.106643
random_stratified,medium,00614733.json,34,17,5,9939.0,3,7,3,3,0.154809
random_stratified,medium,00633664.json,30,15,6,7028.0,2,7,2,2,0.200986
random_stratified,medium,00643124.json,62,31,4,11442.0,2,24,3,2,0.160768
random_stratified,medium,00681630.json,26,13,5,6038.0,2,6,2,2,0.11178
random_stratified,medium,00693718.json,64,32,4,13637.0,4,20,4,4,0.194745
random_stratified,medium,00700382.json,26,13,5,5670.0,2,4,3,2,0.111375
random_stratified,medium,00728826.json,48,24,4,14897.0,2,16,4,2,0.118674
random_stratified,medium,00765814.json,48,24,4,12359.0,4,0,8,4,0.140877
random_stratified,medium,00773805.json,26,13,5,5167.0,2,6,2,2,0.110821
random_stratified,medium,00783045.json,50,25,4,10838.0,3,16,3,3,0.133258
random_stratified,medium,00840057.json,34,17,5,9024.0,2,10,2,2,0.1413
random_stratified,medium,00861824.json,30,15,5,6715.0,2,4,4,2,0.125641
random_stratified,medium,00898407.json,50,25,5,9765.0,4,12,4,4,0.219576
random_stratified,medium,00903125.json,42,21,4,13429.0,3,12,3,3,0.109884
random_stratified,medium,00908714.json,56,28,4,14259.0,4,16,4,4,0.1692
random_stratified,medium,00959190.json,44,22,4,12921.0,3,13,3,3,0.115882
random_stratified,medium,00963543.json,30,15,5,5953.0,2,6,3,2,0.124802
random_stratified,high,00049876.json,62,31,5,19104.0,5,10,5,5,0.281712
random_stratified,high,00063913.json,102,51,5,30831.0,10,8,10,10,0.488282
random_stratified,high,00099364.json,80,40,5,11003.0,4,24,6,4,0.319301
random_stratified,high,00100868.json,114,57,5,19098.0,3,28,7,3,0.427197
random_stratified,high,00115362.json,88,44,4,16273.0,6,26,6,6,0.301338
random_stratified,high,00119633.json,126,63,6,51366.0,5,20,9,5,0.6021
random_stratified,high,00143803.json,62,31,5,8998.0,2,21,2,2,0.233075
random_stratified,high,00269581.json,58,29,5,10293.0,3,12,7,3,0.233887
random_stratified,high,00308339.json,100,50,6,33997.0,7,8,12,7,0.522714
random_stratified,high,00308558.json,102,51,5,19711.0,4,37,5,4,0.401028
random_stratified,high,00313941.json,94,47,5,21487.0,4,24,5,4,0.376756
random_stratified,high,00381657.json,72,36,4,17978.0,5,21,5,5,0.238258
random_stratified,high,00407482.json,82,41,4,23871.0,5,26,5,5,0.277539
random_stratified,high,00439947.json,86,43,5,24832.0,5,22,5,5,0.366712
random_stratified,high,00453522.json,96,48,4,27115.0,6,30,6,6,0.339515
random_stratified,high,00524462.json,78,39,4,24887.0,5,24,5,5,0.265543
random_stratified,high,00527665.json,86,43,4,17577.0,6,25,6,6,0.296218
random_stratified,high,00528234.json,78,39,5,26771.0,6,19,6,6,0.35512
random_stratified,high,00583632.json,82,41,6,13486.0,6,16,8,6,0.428595
random_stratified,high,00590165.json,76,38,5,17214.0,5,22,5,5,0.325531
random_stratified,high,00593150.json,38,19,6,10273.0,3,2,5,3,0.243292
random_stratified,high,00654002.json,62,31,5,22150.0,7,4,7,7,0.310068
random_stratified,high,00662433.json,104,52,4,33697.0,10,0,16,10,0.422998
random_stratified,high,00678458.json,70,35,5,10484.0,3,24,4,3,0.273442
random_stratified,high,00679694.json,42,21,6,8972.0,3,2,6,3,0.254973
random_stratified,high,00681910.json,42,21,6,11050.0,3,7,4,3,0.257263
random_stratified,high,00696456.json,78,39,6,13900.0,5,4,11,5,0.403436
random_stratified,high,00705564.json,60,30,6,18572.0,4,14,4,4,0.337068
random_stratified,high,00722054.json,54,27,6,13688.0,4,10,5,4,0.312014
random_stratified,high,00724456.json,48,24,6,9770.0,3,4,6,3,0.275524
random_stratified,high,00738915.json,50,25,6,9897.0,3,10,5,3,0.282222
random_stratified,high,00749454.json,60,30,5,21602.0,4,17,4,4,0.265407
random_stratified,high,00794231.json,60,30,6,14153.0,4,14,5,4,0.332198
random_stratified,high,00836802.json,70,35,6,13493.0,4,18,5,4,0.364258
random_stratified,high,00892582.json,96,48,4,42485.0,4,32,8,4,0.331453
random_stratified,high,00895021.json,70,35,4,25444.0,5,20,5,5,0.239928
random_stratified,high,00930037.json,84,42,5,14707.0,3,16,4,3,0.323997
random_stratified,high,00935035.json,126,63,4,40992.0,9,36,9,9,0.490668
random_stratified,high,00965596.json,80,40,6,47948.0,7,2,7,7,0.472514
random_stratified,high,00974755.json,42,21,6,11282.0,3,2,6,3,0.257518
top10_by_score_high,high,00878451.json,130,65,6,86422.0,10,5,10,10,0.716346
top10_by_score_high,high,00960253.json,136,68,6,49406.0,10,24,12,10,0.695227
top10_by_score_high,high,00347758.json,134,67,6,53068.0,10,31,11,10,0.692705
top10_by_score_high,high,00791132.json,132,66,6,51232.0,10,12,14,10,0.684124
top10_by_score_high,high,00469989.json,136,68,6,37122.0,10,16,14,10,0.68169
top10_by_score_high,high,00161424.json,136,68,6,47299.0,9,37,9,9,0.680405
top10_by_score_high,high,00613542.json,124,62,6,71013.0,10,12,14,10,0.679693
top10_by_score_high,high,00986574.json,134,67,6,38674.0,10,28,10,10,0.676843
top10_by_score_high,high,00825001.json,134,67,6,36675.0,10,10,14,10,0.67464
top10_by_score_high,high,00063965.json,124,62,6,59958.0,10,20,11,10,0.667511
top10_by_score_medium,medium,00304836.json,54,27,5,15575.0,3,16,3,3,0.226593
top10_by_score_medium,medium,00064221.json,46,23,5,16686.0,5,4,5,5,0.226588
top10_by_score_medium,medium,00438688.json,46,23,5,16679.0,5,4,5,5,0.22658
top10_by_score_medium,medium,00053961.json,46,23,5,16676.0,5,4,5,5,0.226577
top10_by_score_medium,medium,00418741.json,46,23,5,16664.0,5,4,5,5,0.226564
top10_by_score_medium,medium,00160917.json,46,23,5,16660.0,5,4,5,5,0.226559
top10_by_score_medium,medium,00816433.json,38,19,6,6424.0,2,4,4,2,0.22655
top10_by_score_medium,medium,00180834.json,48,24,5,22043.0,4,8,4,4,0.226549
top10_by_score_medium,medium,00459959.json,38,19,6,6417.0,2,4,4,2,0.226542
top10_by_score_medium,medium,00281353.json,68,34,4,19222.0,5,19,5,5,0.226514
top10_by_score_low,low,00564770.json,22,11,5,7108.0,2,4,2,2,0.099845
top10_by_score_low,low,00405712.json,22,11,5,7100.0,2,4,2,2,0.099836
top10_by_score_low,low,00932364.json,22,11,5,7097.0,2,4,2,2,0.099833
top10_by_score_low,low,00284851.json,40,20,4,10258.0,3,11,3,3,0.099832
top10_by_score_low,low,00788676.json,22,11,5,7095.0,2,4,2,2,0.099831
top10_by_score_low,low,00186673.json,22,11,5,7093.0,2,4,2,2,0.099828
top10_by_score_low,low,00026674.json,22,11,5,7091.0,2,4,2,2,0.099826
top10_by_score_low,low,00401563.json,22,11,5,7088.0,2,4,2,2,0.099823
top10_by_score_low,low,00463889.json,22,11,5,7083.0,2,4,2,2,0.099817
top10_by_score_low,low,00727977.json,36,18,4,10801.0,4,0,5,4,0.099816
