file,event_count,pair_count,unique_action_count,span_ms,max_nesting_depth,started_total,finished_total,unmatched_start_total,unmatched_finish_total,strict_mismatch_count,strict_underflow_count,pairing_completion_rate,has_pairing_issue
00130467.json,132,66,6,33891.0,3,66,66,0,0,0,0,1.0,0
00707584.json,132,66,6,33881.0,3,66,66,0,0,0,0,1.0,0
00685334.json,132,66,6,31571.0,3,66,66,0,0,0,0,1.0,0
00407919.json,132,66,5,63151.0,3,66,66,0,0,0,0,1.0,0
00886615.json,132,66,5,62756.0,3,66,66,0,0,0,0,1.0,0
00904303.json,132,66,5,60213.0,3,66,66,0,0,0,0,1.0,0
00727900.json,132,66,5,55250.0,3,66,66,0,0,0,0,1.0,0
00079324.json,132,66,5,51693.0,3,66,66,0,0,0,0,1.0,0
00620033.json,132,66,5,48035.0,3,66,66,0,0,0,0,1.0,0
00990321.json,132,66,5,47800.0,3,66,66,0,0,0,0,1.0,0
00514274.json,132,66,5,46780.0,3,66,66,0,0,0,0,1.0,0
00932488.json,132,66,5,43396.0,3,66,66,0,0,0,0,1.0,0
00582271.json,132,66,5,42612.0,3,66,66,0,0,0,0,1.0,0
00289072.json,132,66,5,37573.0,3,66,66,0,0,0,0,1.0,0
00049931.json,132,66,5,36058.0,3,66,66,0,0,0,0,1.0,0
00456058.json,132,66,5,35914.0,3,66,66,0,0,0,0,1.0,0
00822359.json,132,66,5,32047.0,3,66,66,0,0,0,0,1.0,0
00416969.json,132,66,5,31541.0,3,66,66,0,0,0,0,1.0,0
00748437.json,132,66,5,31322.0,3,66,66,0,0,0,0,1.0,0
00416968.json,132,66,5,31272.0,3,66,66,0,0,0,0,1.0,0
00698218.json,132,66,5,31191.0,3,66,66,0,0,0,0,1.0,0
00848006.json,132,66,5,30969.0,3,66,66,0,0,0,0,1.0,0
00583601.json,132,66,5,30024.0,3,66,66,0,0,0,0,1.0,0
00416967.json,132,66,5,29316.0,3,66,66,0,0,0,0,1.0,0
00677694.json,132,66,5,29243.0,3,66,66,0,0,0,0,1.0,0
00718009.json,132,66,5,26415.0,3,66,66,0,0,0,0,1.0,0
00963504.json,132,66,4,52007.0,3,66,66,0,0,0,0,1.0,0
00279368.json,132,66,4,43349.0,3,66,66,0,0,0,0,1.0,0
00740534.json,132,66,4,39574.0,3,66,66,0,0,0,0,1.0,0
00995064.json,132,66,4,39359.0,3,66,66,0,0,0,0,1.0,0
00646343.json,132,66,4,36810.0,3,66,66,0,0,0,0,1.0,0
00646344.json,132,66,4,35572.0,3,66,66,0,0,0,0,1.0,0
00109594.json,132,66,4,34672.0,3,66,66,0,0,0,0,1.0,0
00623954.json,132,66,4,33688.0,3,66,66,0,0,0,0,1.0,0
00862577.json,132,66,4,32731.0,3,66,66,0,0,0,0,1.0,0
00478071.json,132,66,4,32196.0,3,66,66,0,0,0,0,1.0,0
00628690.json,132,66,4,31023.0,3,66,66,0,0,0,0,1.0,0
00719991.json,132,66,4,26808.0,3,66,66,0,0,0,0,1.0,0
00878451.json,130,65,6,86422.0,3,65,65,0,0,0,0,1.0,0
00645690.json,130,65,6,58233.0,3,65,65,0,0,0,0,1.0,0
00715401.json,130,65,6,48088.0,3,65,65,0,0,0,0,1.0,0
00042743.json,130,65,6,44908.0,3,65,65,0,0,0,0,1.0,0
00029956.json,130,65,6,39336.0,3,65,65,0,0,0,0,1.0,0
00435153.json,130,65,6,38100.0,3,65,65,0,0,0,0,1.0,0
00262583.json,130,65,6,36974.0,3,65,65,0,0,0,0,1.0,0
00193778.json,130,65,6,36686.0,3,65,65,0,0,0,0,1.0,0
00458534.json,130,65,6,33022.0,3,65,65,0,0,0,0,1.0,0
00570507.json,130,65,6,31752.0,3,65,65,0,0,0,0,1.0,0
00983023.json,130,65,6,20348.0,3,65,65,0,0,0,0,1.0,0
00046572.json,130,65,6,19338.0,3,65,65,0,0,0,0,1.0,0
00520915.json,130,65,5,41472.0,3,65,65,0,0,0,0,1.0,0
