sample_id,action_json_file,action_json_path,image_count_in_cad,example_image_paths,example_view_indices,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,complexity_score,complexity_label
00042743,00042743.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00042743.json,5,images/0004/00042743_1.png | images/0004/00042743_2.png | images/0004/00042743_4.png | images/0004/00042743_0.png | images/0004/00042743_3.png,"0,1,2,3,4",130,65,6,44908.0,7,0.633098,high
00015451,00015451.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00015451.json,5,images/0001/00015451_0.png | images/0001/00015451_1.png | images/0001/00015451_2.png | images/0001/00015451_4.png | images/0001/00015451_3.png,"0,1,2,3,4",126,63,6,33548.0,9,0.632465,high
00181752,00181752.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00181752.json,5,images/0018/00181752_3.png | images/0018/00181752_2.png | images/0018/00181752_1.png | images/0018/00181752_4.png | images/0018/00181752_0.png,"0,1,2,3,4",118,59,6,42492.0,10,0.628591,high
00300614,00300614.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00300614.json,3,images/0030/00300614_1.png | images/0030/00300614_4.png | images/0030/00300614_2.png,"1,2,4",120,60,6,36180.0,10,0.628193,high
00029956,00029956.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00029956.json,5,images/0002/00029956_2.png | images/0002/00029956_0.png | images/0002/00029956_3.png | images/0002/00029956_1.png | images/0002/00029956_4.png,"0,1,2,3,4",130,65,6,39336.0,7,0.626958,high
00202157,00202157.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00202157.json,5,images/0020/00202157_4.png | images/0020/00202157_2.png | images/0020/00202157_3.png | images/0020/00202157_0.png | images/0020/00202157_1.png,"0,1,2,3,4",126,63,6,48600.0,7,0.624052,high
00027056,00027056.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00027056.json,4,images/0002/00027056_4.png | images/0002/00027056_0.png | images/0002/00027056_1.png | images/0002/00027056_2.png,"0,1,2,4",116,58,6,41323.0,10,0.620746,high
00286449,00286449.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00286449.json,5,images/0028/00286449_3.png | images/0028/00286449_2.png | images/0028/00286449_0.png | images/0028/00286449_1.png | images/0028/00286449_4.png,"0,1,2,3,4",122,61,6,45325.0,8,0.619828,high
00154573,00154573.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00154573.json,5,images/0015/00154573_1.png | images/0015/00154573_4.png | images/0015/00154573_0.png | images/0015/00154573_3.png | images/0015/00154573_2.png,"0,1,2,3,4",114,57,6,57481.0,9,0.619494,high
00212951,00212951.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00212951.json,5,images/0021/00212951_3.png | images/0021/00212951_4.png | images/0021/00212951_2.png | images/0021/00212951_1.png | images/0021/00212951_0.png,"0,1,2,3,4",126,63,6,32263.0,8,0.618549,high
00153960,00153960.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00153960.json,5,images/0015/00153960_4.png | images/0015/00153960_0.png | images/0015/00153960_2.png | images/0015/00153960_3.png | images/0015/00153960_1.png,"0,1,2,3,4",126,63,6,32075.0,8,0.618342,high
00116657,00116657.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00116657.json,5,images/0011/00116657_2.png | images/0011/00116657_1.png | images/0011/00116657_3.png | images/0011/00116657_4.png | images/0011/00116657_0.png,"0,1,2,3,4",126,63,6,31232.0,8,0.617413,high
00001616,00001616.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00001616.json,5,images/0000/00001616_2.png | images/0000/00001616_3.png | images/0000/00001616_1.png | images/0000/00001616_4.png | images/0000/00001616_0.png,"0,1,2,3,4",120,60,6,36782.0,9,0.616356,high
00244057,00244057.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00244057.json,5,images/0024/00244057_0.png | images/0024/00244057_1.png | images/0024/00244057_2.png | images/0024/00244057_3.png | images/0024/00244057_4.png,"0,1,2,3,4",126,63,6,29619.0,8,0.615635,high
00160241,00160241.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00160241.json,5,images/0016/00160241_4.png | images/0016/00160241_0.png | images/0016/00160241_2.png | images/0016/00160241_3.png | images/0016/00160241_1.png,"0,1,2,3,4",120,60,6,35957.0,9,0.615447,high
00141167,00141167.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00141167.json,5,images/0014/00141167_4.png | images/0014/00141167_1.png | images/0014/00141167_2.png | images/0014/00141167_0.png | images/0014/00141167_3.png,"0,1,2,3,4",120,60,6,34726.0,9,0.614091,high
00264646,00264646.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00264646.json,5,images/0026/00264646_4.png | images/0026/00264646_1.png | images/0026/00264646_2.png | images/0026/00264646_3.png | images/0026/00264646_0.png,"0,1,2,3,4",138,69,5,37379.0,10,0.613531,high
00187624,00187624.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00187624.json,5,images/0018/00187624_0.png | images/0018/00187624_4.png | images/0018/00187624_1.png | images/0018/00187624_2.png | images/0018/00187624_3.png,"0,1,2,3,4",112,56,6,55254.0,9,0.610483,high
00241106,00241106.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00241106.json,5,images/0024/00241106_1.png | images/0024/00241106_2.png | images/0024/00241106_3.png | images/0024/00241106_4.png | images/0024/00241106_0.png,"0,1,2,3,4",136,68,5,39987.0,10,0.609847,high
00029598,00029598.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00029598.json,4,images/0002/00029598_1.png | images/0002/00029598_3.png | images/0002/00029598_0.png | images/0002/00029598_4.png,"0,1,3,4",114,57,6,37242.0,10,0.609691,high
00241107,00241107.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00241107.json,5,images/0024/00241107_2.png | images/0024/00241107_3.png | images/0024/00241107_1.png | images/0024/00241107_4.png | images/0024/00241107_0.png,"0,1,2,3,4",136,68,5,38828.0,10,0.60857,high
00142726,00142726.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00142726.json,5,images/0014/00142726_0.png | images/0014/00142726_1.png | images/0014/00142726_4.png | images/0014/00142726_2.png | images/0014/00142726_3.png,"0,1,2,3,4",136,68,5,38354.0,10,0.608048,high
00051903,00051903.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00051903.json,5,images/0005/00051903_2.png | images/0005/00051903_4.png | images/0005/00051903_0.png | images/0005/00051903_1.png | images/0005/00051903_3.png,"0,1,2,3,4",122,61,6,32788.0,8,0.606013,high
00141444,00141444.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00141444.json,5,images/0014/00141444_2.png | images/0014/00141444_0.png | images/0014/00141444_3.png | images/0014/00141444_1.png | images/0014/00141444_4.png,"0,1,2,3,4",128,64,6,26184.0,7,0.605907,high
00003689,00003689.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00003689.json,5,images/0000/00003689_2.png | images/0000/00003689_3.png | images/0000/00003689_4.png | images/0000/00003689_0.png | images/0000/00003689_1.png,"0,1,2,3,4",124,62,6,24939.0,8,0.60392,high
00003009,00003009.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00003009.json,5,images/0000/00003009_3.png | images/0000/00003009_4.png | images/0000/00003009_0.png | images/0000/00003009_1.png | images/0000/00003009_2.png,"0,1,2,3,4",124,62,6,24842.0,8,0.603814,high
00240452,00240452.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00240452.json,5,images/0024/00240452_1.png | images/0024/00240452_3.png | images/0024/00240452_4.png | images/0024/00240452_2.png | images/0024/00240452_0.png,"0,1,2,3,4",118,59,6,30753.0,9,0.603155,high
00144046,00144046.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00144046.json,5,images/0014/00144046_0.png | images/0014/00144046_1.png | images/0014/00144046_2.png | images/0014/00144046_3.png | images/0014/00144046_4.png,"0,1,2,3,4",134,67,5,39642.0,10,0.60291,high
00146002,00146002.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00146002.json,5,images/0014/00146002_3.png | images/0014/00146002_0.png | images/0014/00146002_1.png | images/0014/00146002_2.png | images/0014/00146002_4.png,"0,1,2,3,4",134,67,5,39194.0,10,0.602416,high
00119633,00119633.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00119633.json,5,images/0011/00119633_1.png | images/0011/00119633_0.png | images/0011/00119633_2.png | images/0011/00119633_4.png | images/0011/00119633_3.png,"0,1,2,3,4",126,63,6,51366.0,5,0.6021,high
00008655,00008655.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00008655.json,5,images/0000/00008655_3.png | images/0000/00008655_4.png | images/0000/00008655_0.png | images/0000/00008655_2.png | images/0000/00008655_1.png,"0,1,2,3,4",136,68,5,32956.0,10,0.602099,high
00023464,00023464.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00023464.json,2,images/0002/00023464_0.png | images/0002/00023464_1.png,"0,1",126,63,6,28291.0,7,0.601672,high
00241936,00241936.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00241936.json,5,images/0024/00241936_3.png | images/0024/00241936_0.png | images/0024/00241936_1.png | images/0024/00241936_4.png | images/0024/00241936_2.png,"0,1,2,3,4",118,59,6,38928.0,8,0.599664,high
00008905,00008905.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00008905.json,5,images/0000/00008905_3.png | images/0000/00008905_2.png | images/0000/00008905_4.png | images/0000/00008905_0.png | images/0000/00008905_1.png,"0,1,2,3,4",120,60,6,32406.0,8,0.599034,high
00057702,00057702.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00057702.json,5,images/0005/00057702_0.png | images/0005/00057702_3.png | images/0005/00057702_2.png | images/0005/00057702_1.png | images/0005/00057702_4.png,"0,1,2,3,4",110,55,6,50810.0,9,0.599028,high
00277290,00277290.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00277290.json,5,images/0027/00277290_3.png | images/0027/00277290_0.png | images/0027/00277290_4.png | images/0027/00277290_1.png | images/0027/00277290_2.png,"0,1,2,3,4",116,58,6,31231.0,9,0.597125,high
00042528,00042528.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00042528.json,5,images/0004/00042528_3.png | images/0004/00042528_4.png | images/0004/00042528_1.png | images/0004/00042528_0.png | images/0004/00042528_2.png,"0,1,2,3,4",120,60,6,30076.0,8,0.596467,high
00147407,00147407.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00147407.json,5,images/0014/00147407_0.png | images/0014/00147407_1.png | images/0014/00147407_2.png | images/0014/00147407_4.png | images/0014/00147407_3.png,"0,1,2,3,4",118,59,6,46780.0,7,0.595817,high
00145926,00145926.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00145926.json,5,images/0014/00145926_4.png | images/0014/00145926_2.png | images/0014/00145926_0.png | images/0014/00145926_1.png | images/0014/00145926_3.png,"0,1,2,3,4",114,57,6,35187.0,9,0.594927,high
00289072,00289072.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00289072.json,5,images/0028/00289072_1.png | images/0028/00289072_0.png | images/0028/00289072_2.png | images/0028/00289072_4.png | images/0028/00289072_3.png,"0,1,2,3,4",132,66,5,37573.0,10,0.594072,high
00099798,00099798.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00099798.json,5,images/0009/00099798_0.png | images/0009/00099798_3.png | images/0009/00099798_2.png | images/0009/00099798_4.png | images/0009/00099798_1.png,"0,1,2,3,4",114,57,6,34271.0,9,0.593917,high
00007930,00007930.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00007930.json,5,images/0000/00007930_2.png | images/0000/00007930_4.png | images/0000/00007930_3.png | images/0000/00007930_0.png | images/0000/00007930_1.png,"0,1,2,3,4",114,57,6,33761.0,9,0.593355,high
00144438,00144438.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00144438.json,5,images/0014/00144438_0.png | images/0014/00144438_2.png | images/0014/00144438_1.png | images/0014/00144438_3.png | images/0014/00144438_4.png,"0,1,2,3,4",114,57,6,33243.0,9,0.592784,high
00046572,00046572.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00046572.json,5,images/0004/00046572_2.png | images/0004/00046572_3.png | images/0004/00046572_4.png | images/0004/00046572_0.png | images/0004/00046572_1.png,"0,1,2,3,4",130,65,6,19338.0,6,0.59242,high
00049931,00049931.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00049931.json,5,images/0004/00049931_0.png | images/0004/00049931_4.png | images/0004/00049931_2.png | images/0004/00049931_3.png | images/0004/00049931_1.png,"0,1,2,3,4",132,66,5,36058.0,10,0.592403,high
00040736,00040736.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00040736.json,5,images/0004/00040736_0.png | images/0004/00040736_1.png | images/0004/00040736_3.png | images/0004/00040736_2.png | images/0004/00040736_4.png,"0,1,2,3,4",134,67,5,41409.0,9,0.592357,high
00198112,00198112.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00198112.json,5,images/0019/00198112_0.png | images/0019/00198112_1.png | images/0019/00198112_4.png | images/0019/00198112_3.png | images/0019/00198112_2.png,"0,1,2,3,4",136,68,5,35444.0,9,0.592341,high
00169858,00169858.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00169858.json,5,images/0016/00169858_1.png | images/0016/00169858_2.png | images/0016/00169858_4.png | images/0016/00169858_0.png | images/0016/00169858_3.png,"0,1,2,3,4",116,58,6,38218.0,8,0.592324,high
00279301,00279301.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00279301.json,5,images/0027/00279301_2.png | images/0027/00279301_3.png | images/0027/00279301_0.png | images/0027/00279301_4.png | images/0027/00279301_1.png,"0,1,2,3,4",120,60,6,35941.0,7,0.59043,high
00204299,00204299.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00204299.json,5,images/0020/00204299_0.png | images/0020/00204299_2.png | images/0020/00204299_3.png | images/0020/00204299_1.png | images/0020/00204299_4.png,"0,1,2,3,4",118,59,6,30318.0,8,0.590176,high
00262475,00262475.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00262475.json,5,images/0026/00262475_0.png | images/0026/00262475_4.png | images/0026/00262475_3.png | images/0026/00262475_1.png | images/0026/00262475_2.png,"0,1,2,3,4",136,68,5,32407.0,9,0.588994,high
00105877,00105877.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00105877.json,5,images/0010/00105877_1.png | images/0010/00105877_4.png | images/0010/00105877_3.png | images/0010/00105877_0.png | images/0010/00105877_2.png,"0,1,2,3,4",116,58,6,34791.0,8,0.588548,high
00146755,00146755.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00146755.json,5,images/0014/00146755_0.png | images/0014/00146755_3.png | images/0014/00146755_1.png | images/0014/00146755_2.png | images/0014/00146755_4.png,"0,1,2,3,4",126,63,5,61126.0,9,0.587855,high
00102403,00102403.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00102403.json,5,images/0010/00102403_0.png | images/0010/00102403_4.png | images/0010/00102403_1.png | images/0010/00102403_2.png | images/0010/00102403_3.png,"0,1,2,3,4",126,63,6,49780.0,4,0.587852,high
00140266,00140266.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00140266.json,5,images/0014/00140266_0.png | images/0014/00140266_3.png | images/0014/00140266_1.png | images/0014/00140266_2.png | images/0014/00140266_4.png,"0,1,2,3,4",114,57,6,39252.0,8,0.586906,high
00044356,00044356.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00044356.json,5,images/0004/00044356_3.png | images/0004/00044356_1.png | images/0004/00044356_4.png | images/0004/00044356_2.png | images/0004/00044356_0.png,"0,1,2,3,4",134,67,5,34847.0,9,0.585126,high
00212922,00212922.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00212922.json,5,images/0021/00212922_1.png | images/0021/00212922_2.png | images/0021/00212922_4.png | images/0021/00212922_3.png | images/0021/00212922_0.png,"0,1,2,3,4",126,63,5,58437.0,9,0.584892,high
00079324,00079324.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00079324.json,5,images/0007/00079324_0.png | images/0007/00079324_2.png | images/0007/00079324_1.png | images/0007/00079324_4.png | images/0007/00079324_3.png,"0,1,2,3,4",132,66,5,51693.0,8,0.584632,high
00189804,00189804.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00189804.json,5,images/0018/00189804_0.png | images/0018/00189804_2.png | images/0018/00189804_4.png | images/0018/00189804_1.png | images/0018/00189804_3.png,"0,1,2,3,4",130,65,5,34438.0,10,0.58406,high
00307354,00307354.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00307354.json,1,images/0030/00307354_1.png,1,128,64,6,27766.0,5,0.582651,high
00252112,00252112.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00252112.json,5,images/0025/00252112_0.png | images/0025/00252112_4.png | images/0025/00252112_2.png | images/0025/00252112_1.png | images/0025/00252112_3.png,"0,1,2,3,4",128,64,5,38916.0,10,0.582438,high
00147062,00147062.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00147062.json,5,images/0014/00147062_0.png | images/0014/00147062_3.png | images/0014/00147062_4.png | images/0014/00147062_1.png | images/0014/00147062_2.png,"0,1,2,3,4",106,53,6,35337.0,10,0.581362,high
00102239,00102239.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00102239.json,5,images/0010/00102239_2.png | images/0010/00102239_4.png | images/0010/00102239_1.png | images/0010/00102239_3.png | images/0010/00102239_0.png,"0,1,2,3,4",120,60,6,27237.0,7,0.580838,high
00161990,00161990.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00161990.json,5,images/0016/00161990_0.png | images/0016/00161990_2.png | images/0016/00161990_1.png | images/0016/00161990_3.png | images/0016/00161990_4.png,"0,1,2,3,4",110,55,6,45232.0,8,0.580381,high
00209990,00209990.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00209990.json,5,images/0020/00209990_0.png | images/0020/00209990_3.png | images/0020/00209990_1.png | images/0020/00209990_2.png | images/0020/00209990_4.png,"0,1,2,3,4",114,57,6,32470.0,8,0.579433,high
00083086,00083086.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00083086.json,5,images/0008/00083086_1.png | images/0008/00083086_0.png | images/0008/00083086_2.png | images/0008/00083086_3.png | images/0008/00083086_4.png,"0,1,2,3,4",110,55,6,32766.0,9,0.579144,high
00081847,00081847.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00081847.json,5,images/0008/00081847_2.png | images/0008/00081847_0.png | images/0008/00081847_1.png | images/0008/00081847_3.png | images/0008/00081847_4.png,"0,1,2,3,4",128,64,6,24348.0,5,0.578884,high
00303790,00303790.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00303790.json,1,images/0030/00303790_1.png,1,108,54,6,37905.0,9,0.57825,high
00162197,00162197.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00162197.json,5,images/0016/00162197_0.png | images/0016/00162197_1.png | images/0016/00162197_2.png | images/0016/00162197_3.png | images/0016/00162197_4.png,"0,1,2,3,4",128,64,5,35081.0,10,0.578212,high
00276912,00276912.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00276912.json,5,images/0027/00276912_4.png | images/0027/00276912_1.png | images/0027/00276912_3.png | images/0027/00276912_0.png | images/0027/00276912_2.png,"0,1,2,3,4",118,59,6,29704.0,7,0.576999,high
00082170,00082170.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00082170.json,5,images/0008/00082170_0.png | images/0008/00082170_4.png | images/0008/00082170_1.png | images/0008/00082170_3.png | images/0008/00082170_2.png,"0,1,2,3,4",128,64,5,32816.0,10,0.575716,high
00198174,00198174.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00198174.json,5,images/0019/00198174_0.png | images/0019/00198174_3.png | images/0019/00198174_2.png | images/0019/00198174_4.png | images/0019/00198174_1.png,"0,1,2,3,4",110,55,6,51880.0,7,0.575207,high
00285217,00285217.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00285217.json,5,images/0028/00285217_1.png | images/0028/00285217_0.png | images/0028/00285217_4.png | images/0028/00285217_2.png | images/0028/00285217_3.png,"0,1,2,3,4",110,55,6,40506.0,8,0.575173,high
00094114,00094114.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00094114.json,5,images/0009/00094114_2.png | images/0009/00094114_0.png | images/0009/00094114_4.png | images/0009/00094114_1.png | images/0009/00094114_3.png,"0,1,2,3,4",130,65,5,37587.0,9,0.57503,high
00135378,00135378.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00135378.json,5,images/0013/00135378_1.png | images/0013/00135378_2.png | images/0013/00135378_4.png | images/0013/00135378_0.png | images/0013/00135378_3.png,"0,1,2,3,4",112,56,6,22966.0,9,0.574902,high
00247807,00247807.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00247807.json,5,images/0024/00247807_1.png | images/0024/00247807_3.png | images/0024/00247807_2.png | images/0024/00247807_0.png | images/0024/00247807_4.png,"0,1,2,3,4",118,59,6,27784.0,7,0.574883,high
00184569,00184569.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00184569.json,5,images/0018/00184569_4.png | images/0018/00184569_0.png | images/0018/00184569_1.png | images/0018/00184569_2.png | images/0018/00184569_3.png,"0,1,2,3,4",104,52,6,46321.0,9,0.574409,high
00209419,00209419.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00209419.json,5,images/0020/00209419_2.png | images/0020/00209419_4.png | images/0020/00209419_3.png | images/0020/00209419_0.png | images/0020/00209419_1.png,"0,1,2,3,4",122,61,6,26075.0,6,0.573615,high
00102154,00102154.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00102154.json,5,images/0010/00102154_1.png | images/0010/00102154_3.png | images/0010/00102154_2.png | images/0010/00102154_4.png | images/0010/00102154_0.png,"0,1,2,3,4",118,59,6,26458.0,7,0.573422,high
00158546,00158546.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00158546.json,5,images/0015/00158546_0.png | images/0015/00158546_3.png | images/0015/00158546_1.png | images/0015/00158546_2.png | images/0015/00158546_4.png,"0,1,2,3,4",118,59,6,26458.0,7,0.573422,high
00104016,00104016.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00104016.json,5,images/0010/00104016_4.png | images/0010/00104016_1.png | images/0010/00104016_0.png | images/0010/00104016_2.png | images/0010/00104016_3.png,"0,1,2,3,4",120,60,6,31653.0,6,0.573204,high
00023955,00023955.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00023955.json,4,images/0002/00023955_0.png | images/0002/00023955_3.png | images/0002/00023955_1.png | images/0002/00023955_2.png,"0,1,2,3",112,56,6,55253.0,6,0.572982,high
