file,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,line_pair_count,sketch_pair_count,curve_pair_count,complexity_score,complexity_label
00157302.json,126,63,6,54155.0,8,31,10,8,0.642673,high
00195000.json,128,64,6,36573.0,9,34,9,9,0.642356,high
00267506.json,124,62,6,36451.0,10,21,12,10,0.641606,high
00184696.json,132,66,6,35074.0,8,36,9,8,0.641319,high
00081512.json,128,64,6,35463.0,9,32,9,9,0.641132,high
00925386.json,126,63,6,40863.0,9,26,11,9,0.640526,high
00437238.json,122,61,6,40750.0,10,22,10,10,0.639787,high
00982677.json,126,63,6,39221.0,9,12,14,9,0.638716,high
00445109.json,120,60,6,44917.0,10,16,10,10,0.637821,high
00362371.json,124,62,6,44077.0,9,20,11,9,0.63751,high
00864794.json,124,62,6,43303.0,9,16,10,9,0.636657,high
00501418.json,126,63,6,36760.0,9,20,13,9,0.636004,high
00306324.json,128,64,6,30662.0,9,24,10,9,0.635842,high
00388284.json,128,64,6,29345.0,9,25,11,9,0.634391,high
00042743.json,130,65,6,44908.0,7,22,12,7,0.633098,high
00015451.json,126,63,6,33548.0,9,12,15,9,0.632465,high
00827203.json,116,58,6,51260.0,10,4,16,10,0.631696,high
00421605.json,116,58,6,50607.0,10,14,10,10,0.630977,high
00181752.json,118,59,6,42492.0,10,16,10,10,0.628591,high
00300614.json,120,60,6,36180.0,10,24,10,10,0.628193,high
00472605.json,124,62,6,35181.0,9,16,10,9,0.627707,high
00540643.json,126,63,6,29046.0,9,13,12,9,0.627504,high
00387114.json,126,63,6,28585.0,9,28,9,9,0.626996,high
00029956.json,130,65,6,39336.0,7,32,9,7,0.626958,high
00866885.json,128,64,6,32938.0,8,33,9,8,0.62585,high
00202157.json,126,63,6,48600.0,7,15,13,7,0.624052,high
00481415.json,128,64,6,30539.0,8,26,10,8,0.623206,high
00986630.json,118,59,6,37254.0,10,20,10,10,0.622819,high
00407919.json,132,66,5,63151.0,10,20,10,10,0.622259,high
00886615.json,132,66,5,62756.0,10,0,12,10,0.621824,high
00027474.json,116,58,6,41328.0,10,16,10,10,0.620751,high
00027056.json,116,58,6,41323.0,10,16,10,10,0.620746,high
00027475.json,116,58,6,40627.0,10,16,10,10,0.619979,high
00286449.json,122,61,6,45325.0,8,12,14,8,0.619828,high
00641703.json,136,68,5,60342.0,9,31,9,9,0.619778,high
00154573.json,114,57,6,57481.0,9,21,9,9,0.619494,high
00027058.json,116,58,6,40094.0,10,16,10,10,0.619391,high
00929178.json,120,60,6,39350.0,9,16,9,9,0.619186,high
00904303.json,132,66,5,60213.0,10,20,10,10,0.619021,high
00714467.json,126,63,6,43758.0,7,32,9,7,0.618716,high
00687158.json,118,59,6,33480.0,10,18,11,10,0.61866,high
00570507.json,130,65,6,31752.0,7,36,9,7,0.6186,high
00212951.json,126,63,6,32263.0,8,29,12,8,0.618549,high
00430338.json,120,60,6,38719.0,9,20,9,9,0.618491,high
00824845.json,126,63,6,43515.0,7,20,13,7,0.618448,high
00153960.json,126,63,6,32075.0,8,29,12,8,0.618342,high
00822304.json,116,58,6,38619.0,10,14,10,10,0.617766,high
00583054.json,126,63,6,31266.0,8,29,9,8,0.61745,high
00116657.json,126,63,6,31232.0,8,18,12,8,0.617413,high
00027479.json,116,58,6,38166.0,10,16,10,10,0.617267,high
00001616.json,120,60,6,36782.0,9,16,9,9,0.616356,high
00375945.json,122,61,6,30473.0,9,18,10,9,0.615961,high
00608585.json,122,61,6,30300.0,9,26,11,9,0.615771,high
00720019.json,120,60,6,36156.0,9,16,9,9,0.615667,high
00244057.json,126,63,6,29619.0,8,12,13,8,0.615635,high
00799139.json,126,63,6,29559.0,8,26,12,8,0.615569,high
00764943.json,120,60,6,36054.0,9,6,12,9,0.615554,high
00160241.json,120,60,6,35957.0,9,16,10,9,0.615447,high
00658736.json,128,64,6,23474.0,8,20,12,8,0.615421,high
00926715.json,124,62,6,35259.0,8,33,8,8,0.615293,high
00660707.json,128,64,6,45934.0,6,12,16,6,0.615171,high
00068926.json,122,61,6,40843.0,8,27,11,8,0.614889,high
00364907.json,136,68,5,55676.0,9,40,9,9,0.614636,high
00141167.json,120,60,6,34726.0,9,20,10,9,0.614091,high
00264646.json,138,69,5,37379.0,10,21,16,10,0.613531,high
00900146.json,128,64,6,21499.0,8,16,16,8,0.613244,high
00245669.json,120,60,6,33876.0,9,26,9,9,0.613154,high
00953096.json,120,60,6,33631.0,9,20,13,9,0.612884,high
00524823.json,136,68,5,42604.0,10,20,10,10,0.612731,high
00439989.json,112,56,6,45842.0,10,4,16,10,0.612611,high
00701852.json,116,58,6,44805.0,9,17,12,9,0.612083,high
00711368.json,120,60,6,32828.0,9,6,17,9,0.611999,high
00751871.json,136,68,5,41819.0,10,20,10,10,0.611866,high
00630011.json,120,60,6,44013.0,8,28,10,8,0.611825,high
00344679.json,120,60,6,32475.0,9,16,9,9,0.61161,high
00428740.json,118,59,6,38336.0,9,25,10,9,0.611512,high
00866615.json,122,61,6,37027.0,8,21,12,8,0.610684,high
00066618.json,136,68,5,40573.0,10,20,10,10,0.610493,high
00424118.json,136,68,5,40564.0,10,20,10,10,0.610483,high
00187624.json,112,56,6,55254.0,9,12,10,9,0.610483,high
00418448.json,120,60,6,31235.0,9,20,12,9,0.610244,high
00466567.json,136,68,5,40137.0,10,20,10,10,0.610013,high
00241106.json,136,68,5,39987.0,10,16,10,10,0.609847,high
00029598.json,114,57,6,37242.0,10,16,11,10,0.609691,high
00778087.json,126,63,6,24001.0,8,36,8,8,0.609444,high
00893188.json,120,60,6,30100.0,9,16,9,9,0.608993,high
00133189.json,120,60,6,30034.0,9,12,14,9,0.60892,high
00434463.json,114,57,6,59185.0,8,24,9,8,0.608872,high
00241107.json,136,68,5,38828.0,10,16,10,10,0.60857,high
00630959.json,134,67,5,55958.0,9,36,9,9,0.60839,high
00142726.json,136,68,5,38354.0,10,20,10,10,0.608048,high
00779947.json,122,61,6,23197.0,9,28,9,9,0.607943,high
00629475.json,136,68,5,38125.0,10,20,10,10,0.607795,high
00779075.json,116,58,6,51986.0,8,20,10,8,0.607496,high
00707599.json,136,68,5,37838.0,10,20,10,10,0.607479,high
00663105.json,134,67,5,43696.0,10,35,10,10,0.607377,high
00988781.json,116,58,6,28693.0,10,16,11,10,0.606828,high
00051903.json,122,61,6,32788.0,8,24,10,8,0.606013,high
00141444.json,128,64,6,26184.0,7,26,12,7,0.605907,high
00572437.json,120,60,6,38548.0,8,19,10,8,0.605803,high
00432451.json,108,54,6,62622.0,9,12,9,9,0.605487,high
00451801.json,126,63,6,31543.0,7,27,10,7,0.605255,high
00904533.json,118,59,6,43349.0,8,20,10,8,0.604536,high
00914101.json,114,57,6,43673.0,9,22,9,9,0.604278,high
00758717.json,118,59,6,43073.0,8,20,9,8,0.604232,high
00514274.json,132,66,5,46780.0,10,24,14,10,0.604218,high
00917738.json,134,67,5,40603.0,10,36,10,10,0.603969,high
00003689.json,124,62,6,24939.0,8,18,11,8,0.60392,high
00003009.json,124,62,6,24842.0,8,18,11,8,0.603814,high
00805928.json,124,62,6,24836.0,8,30,9,8,0.603807,high
00240452.json,118,59,6,30753.0,9,22,10,9,0.603155,high
00144046.json,134,67,5,39642.0,10,36,10,10,0.60291,high
00887148.json,126,63,6,29325.0,7,18,11,7,0.602811,high
00442434.json,118,59,6,30340.0,9,10,16,9,0.6027,high
00726842.json,112,56,6,36844.0,10,16,10,10,0.602695,high
00386261.json,128,64,6,23189.0,7,39,8,7,0.602607,high
00703183.json,120,60,6,35559.0,8,12,16,8,0.602509,high
00146002.json,134,67,5,39194.0,10,36,10,10,0.602416,high
00119633.json,126,63,6,51366.0,5,20,9,5,0.6021,high
00008655.json,136,68,5,32956.0,10,20,10,10,0.602099,high
00023464.json,126,63,6,28291.0,7,10,17,7,0.601672,high
00974892.json,136,68,5,32395.0,10,20,10,10,0.601481,high
00842998.json,122,61,5,74044.0,10,21,10,10,0.601476,high
00724845.json,114,57,6,41040.0,9,14,9,9,0.601377,high
00573491.json,120,60,6,79760.0,4,21,11,4,0.601217,high
00639904.json,112,56,6,58060.0,8,19,9,8,0.601075,high
00469986.json,120,60,6,34059.0,8,24,9,8,0.600856,high
00932488.json,132,66,5,43396.0,10,26,10,10,0.600489,high
00843189.json,122,61,5,73126.0,10,21,10,10,0.600464,high
00414910.json,124,62,6,44221.0,6,8,18,6,0.600169,high
00241936.json,118,59,6,38928.0,8,12,13,8,0.599664,high
00582271.json,132,66,5,42612.0,10,30,10,10,0.599625,high
00950423.json,134,67,5,36648.0,10,24,10,10,0.59961,high
00829731.json,122,61,5,72003.0,10,21,10,10,0.599227,high
00008905.json,120,60,6,32406.0,8,20,9,8,0.599034,high
00057702.json,110,55,6,50810.0,9,8,9,9,0.599028,high
00811025.json,118,59,6,60630.0,6,10,16,6,0.598579,high
00328072.json,120,60,6,43297.0,7,34,8,7,0.598536,high
00835582.json,122,61,5,71130.0,10,21,10,10,0.598265,high
00069738.json,126,63,6,24750.0,7,31,8,7,0.59777,high
00931325.json,134,67,5,46272.0,9,33,12,9,0.597716,high
00449020.json,114,57,6,49022.0,8,30,8,8,0.597673,high
00835175.json,122,61,5,70466.0,10,21,10,10,0.597533,high
00729714.json,136,68,5,28745.0,10,24,15,10,0.597459,high
00277290.json,116,58,6,31231.0,9,27,9,9,0.597125,high
00411174.json,118,59,6,36488.0,8,29,9,8,0.596975,high
00900242.json,116,58,6,42438.0,8,16,8,8,0.596975,high
00157630.json,120,60,6,41742.0,7,10,11,7,0.596822,high
00897514.json,116,58,6,30860.0,9,19,10,9,0.596716,high
00836030.json,122,61,5,69653.0,10,21,10,10,0.596637,high
00042528.json,120,60,6,30076.0,8,5,18,8,0.596467,high
00580088.json,134,67,5,44853.0,9,20,9,9,0.596152,high
00829459.json,122,61,5,68959.0,10,21,10,10,0.595872,high
00147407.json,118,59,6,46780.0,7,15,11,7,0.595817,high
00590829.json,134,67,5,44370.0,9,20,9,9,0.59562,high
00580149.json,134,67,5,44336.0,9,20,9,9,0.595582,high
00993176.json,116,58,6,29582.0,9,21,11,9,0.595307,high
00796290.json,120,60,6,28978.0,8,21,12,8,0.595257,high
00806227.json,122,61,5,68109.0,10,21,10,10,0.594936,high
00145926.json,114,57,6,35187.0,9,4,12,9,0.594927,high
00697295.json,124,62,6,27866.0,7,23,10,7,0.594646,high
00788106.json,110,55,6,35055.0,10,16,10,10,0.594166,high
00289072.json,132,66,5,37573.0,10,24,10,10,0.594072,high
00099798.json,114,57,6,34271.0,9,8,13,9,0.593917,high
00580115.json,134,67,5,42555.0,9,20,9,9,0.59362,high
00820784.json,122,61,5,66844.0,10,21,10,10,0.593542,high
00983023.json,130,65,6,20348.0,6,28,13,6,0.593533,high
00389492.json,134,67,5,31025.0,10,12,19,10,0.593414,high
00007930.json,114,57,6,33761.0,9,4,16,9,0.593355,high
00951529.json,114,57,6,33613.0,9,4,12,9,0.593192,high
00883167.json,122,61,6,55162.0,5,37,10,5,0.593168,high
00829045.json,122,61,5,66477.0,10,21,10,10,0.593137,high
00806533.json,122,61,5,66463.0,10,21,10,10,0.593122,high
00892573.json,122,61,5,66418.0,10,21,10,10,0.593072,high
00479244.json,124,62,6,26288.0,7,37,8,7,0.592907,high
00588563.json,110,55,6,33896.0,10,5,13,10,0.592889,high
00144438.json,114,57,6,33243.0,9,19,9,9,0.592784,high
00937375.json,118,59,6,32424.0,8,10,17,8,0.592497,high
00046572.json,130,65,6,19338.0,6,18,13,6,0.59242,high
00049931.json,132,66,5,36058.0,10,30,10,10,0.592403,high
00040736.json,134,67,5,41409.0,9,36,9,9,0.592357,high
00198112.json,136,68,5,35444.0,9,37,10,9,0.592341,high
00169858.json,116,58,6,38218.0,8,18,12,8,0.592324,high
00980287.json,116,58,6,37836.0,8,15,11,8,0.591903,high
00579665.json,118,59,6,42870.0,7,30,8,7,0.591508,high
00992300.json,116,58,6,26051.0,9,6,16,9,0.591416,high
00509824.json,116,58,6,37247.0,8,26,8,8,0.591254,high
00890305.json,122,61,5,64576.0,10,21,10,10,0.591042,high
00664607.json,118,59,6,42334.0,7,14,12,7,0.590917,high
00628832.json,114,57,6,31222.0,9,4,16,9,0.590557,high
00279301.json,120,60,6,35941.0,7,24,8,7,0.59043,high
00824837.json,120,60,6,24466.0,8,18,12,8,0.590284,high
00204299.json,118,59,6,30318.0,8,32,8,8,0.590176,high
00724383.json,114,57,6,41869.0,8,10,13,8,0.58979,high
00521237.json,134,67,5,39036.0,9,36,9,9,0.589742,high
00883551.json,128,64,6,33641.0,5,10,19,5,0.589125,high
00434513.json,110,55,6,41730.0,9,14,9,9,0.589022,high
00262475.json,136,68,5,32407.0,9,40,9,9,0.588994,high
00105877.json,116,58,6,34791.0,8,12,13,8,0.588548,high
00223142.json,118,59,6,40121.0,7,30,8,7,0.588479,high
00789027.json,130,65,5,38232.0,10,33,10,10,0.588241,high
00146755.json,126,63,5,61126.0,9,18,9,9,0.587855,high
00102403.json,126,63,6,49780.0,4,15,16,4,0.587852,high
00781749.json,112,56,6,45928.0,8,4,10,8,0.587706,high
00140266.json,114,57,6,39252.0,8,10,13,8,0.586906,high
00758550.json,118,59,6,27323.0,8,6,16,8,0.586875,high
00848006.json,132,66,5,30969.0,10,22,10,10,0.586795,high
00779661.json,118,59,6,38015.0,7,30,8,7,0.586158,high
00737742.json,114,57,6,38443.0,8,10,13,8,0.586015,high
00583601.json,132,66,5,30024.0,10,0,14,10,0.585754,high
00660768.json,116,58,6,31777.0,8,28,9,8,0.585226,high
00881266.json,112,56,6,32298.0,9,6,14,9,0.585186,high
00044356.json,134,67,5,34847.0,9,36,9,9,0.585126,high
00511767.json,112,56,6,43484.0,8,28,8,8,0.585012,high
00212922.json,126,63,5,58437.0,9,18,9,9,0.584892,high
00882537.json,112,56,6,32026.0,9,22,9,9,0.584886,high
00079324.json,132,66,5,51693.0,8,40,8,8,0.584632,high
00611520.json,112,56,6,42628.0,8,10,13,8,0.584069,high
00189804.json,130,65,5,34438.0,10,11,18,10,0.58406,high
00472587.json,112,56,6,42469.0,8,10,13,8,0.583894,high
00681874.json,114,57,6,24884.0,9,4,16,9,0.583573,high
00475584.json,112,56,6,41388.0,8,10,13,8,0.582703,high
00307354.json,128,64,6,27766.0,5,35,9,5,0.582651,high
00612771.json,108,54,6,41819.0,9,4,9,9,0.582563,high
00483261.json,116,58,6,29322.0,8,20,10,8,0.582521,high
00252112.json,128,64,5,38916.0,10,17,10,10,0.582438,high
00703159.json,114,57,6,35132.0,8,10,13,8,0.582366,high
00368833.json,114,57,6,34986.0,8,11,13,8,0.582205,high
00069596.json,120,60,6,28344.0,7,23,10,7,0.582058,high
00720469.json,118,59,6,34279.0,7,21,8,7,0.582041,high
00787785.json,110,55,6,35085.0,9,22,9,9,0.5817,high
00462162.json,114,57,6,34449.0,8,16,11,8,0.581613,high
00079586.json,104,52,6,52834.0,9,16,9,9,0.581586,high
00886112.json,118,59,6,33804.0,7,5,15,7,0.581517,high
00147062.json,106,53,6,35337.0,10,14,10,10,0.581362,high
00561875.json,106,53,6,34961.0,10,4,10,10,0.580948,high
00364150.json,106,53,6,34944.0,10,6,13,10,0.580929,high
00102239.json,120,60,6,27237.0,7,30,11,7,0.580838,high
00665525.json,114,57,6,33445.0,8,12,13,8,0.580507,high
00161990.json,110,55,6,45232.0,8,8,14,8,0.580381,high
00990321.json,132,66,5,47800.0,8,26,8,8,0.580342,high
00621019.json,112,56,6,38723.0,8,8,10,8,0.579766,high
00787772.json,110,55,6,33265.0,9,22,9,9,0.579694,high
00990969.json,116,58,6,26748.0,8,18,14,8,0.579684,high
00209990.json,114,57,6,32470.0,8,6,16,8,0.579433,high
00681836.json,114,57,6,32468.0,8,23,9,8,0.57943,high
00083086.json,110,55,6,32766.0,9,6,13,9,0.579144,high
00712400.json,112,56,6,38061.0,8,25,10,8,0.579036,high
00593488.json,114,57,6,32090.0,8,10,13,8,0.579014,high
00598784.json,118,59,6,31454.0,7,18,8,7,0.578928,high
00065016.json,128,64,6,24366.0,5,26,9,5,0.578904,high
00081847.json,128,64,6,24348.0,5,40,10,5,0.578884,high
00322278.json,130,65,5,29276.0,10,23,10,10,0.578372,high
00303790.json,108,54,6,37905.0,9,6,9,9,0.57825,high
00162197.json,128,64,5,35081.0,10,4,10,10,0.578212,high
00214875.json,116,58,6,36711.0,7,14,14,7,0.578163,high
00725486.json,114,57,6,31243.0,8,14,13,8,0.57808,high
00918740.json,116,58,6,24680.0,8,26,9,8,0.577406,high
00420772.json,110,55,6,42378.0,8,27,9,8,0.577236,high
00697504.json,114,57,6,30451.0,8,27,9,8,0.577208,high
00276912.json,118,59,6,29704.0,7,27,8,7,0.576999,high
00764547.json,122,61,6,40097.0,5,30,10,5,0.576567,high
00660883.json,118,59,6,28973.0,7,30,8,7,0.576194,high
00727900.json,132,66,5,55250.0,7,32,8,7,0.576052,high
00518765.json,108,54,6,35644.0,9,16,10,9,0.575758,high
00082170.json,128,64,5,32816.0,10,21,10,10,0.575716,high
00749292.json,128,64,5,43701.0,9,24,9,9,0.575211,high
00198174.json,110,55,6,51880.0,7,31,8,7,0.575207,high
00285217.json,110,55,6,40506.0,8,10,13,8,0.575173,high
00520560.json,114,57,6,51265.0,6,10,15,6,0.575144,high
00094114.json,130,65,5,37587.0,9,28,9,9,0.57503,high
00135378.json,112,56,6,22966.0,9,6,14,9,0.574902,high
00247807.json,118,59,6,27784.0,7,12,8,7,0.574883,high
00184569.json,104,52,6,46321.0,9,14,9,9,0.574409,high
00795616.json,106,53,6,51468.0,8,10,11,8,0.574139,high
00610015.json,126,63,5,59889.0,8,32,9,8,0.573992,high
00560860.json,110,55,6,50507.0,7,13,12,7,0.573694,high
00843879.json,118,59,6,38008.0,6,20,10,6,0.57365,high
00209419.json,122,61,6,26075.0,6,19,15,6,0.573615,high
00082846.json,112,56,6,32992.0,8,18,9,8,0.57345,high
00102154.json,118,59,6,26458.0,7,19,13,7,0.573422,high
00158546.json,118,59,6,26458.0,7,16,12,7,0.573422,high
00104016.json,120,60,6,31653.0,6,28,11,6,0.573204,high
00988784.json,120,60,6,20241.0,7,17,11,7,0.573129,high
00063701.json,120,60,6,42883.0,5,8,12,5,0.57308,high
00749974.json,112,56,6,21263.0,9,18,10,9,0.573025,high
00023955.json,112,56,6,55253.0,6,26,7,6,0.572982,high
00524868.json,110,55,6,38376.0,8,24,9,8,0.572826,high
00986922.json,126,63,6,24610.0,5,28,9,5,0.572615,high
00718284.json,114,57,6,26143.0,8,8,9,8,0.57246,high
00905192.json,126,63,5,46943.0,9,20,9,9,0.572226,high
00125932.json,118,59,6,25312.0,7,19,13,7,0.572159,high
00878066.json,110,55,6,37691.0,8,26,9,8,0.572071,high
00640654.json,130,65,5,34849.0,9,34,11,9,0.572013,high
00804282.json,124,62,6,29781.0,5,29,13,5,0.571756,high
00300937.json,126,63,5,46257.0,9,31,10,9,0.57147,high
00445471.json,110,55,6,36851.0,8,19,8,8,0.571146,high
00262538.json,116,58,6,30339.0,7,16,8,7,0.571142,high
00900147.json,122,61,6,23477.0,6,18,15,6,0.570752,high
00199917.json,108,54,6,42298.0,8,13,12,8,0.570591,high
00464057.json,114,57,6,23757.0,8,10,13,8,0.569831,high
00364159.json,106,53,6,36159.0,9,17,9,9,0.569768,high
00718399.json,112,56,6,29563.0,8,10,13,8,0.569672,high
00527929.json,102,51,6,47401.0,9,19,9,9,0.569042,high
00116789.json,112,56,6,28965.0,8,30,8,8,0.569013,high
00892004.json,108,54,6,29516.0,9,7,14,9,0.569005,high
00942433.json,126,63,6,21279.0,5,18,13,5,0.568945,high
00147411.json,110,55,6,34764.0,8,10,13,8,0.568846,high
00098309.json,122,61,6,21717.0,6,12,18,6,0.568813,high
00697169.json,118,59,6,33606.0,6,24,9,6,0.568799,high
00632896.json,126,63,5,32325.0,10,28,11,10,0.568617,high
00254527.json,124,62,5,83532.0,6,24,6,6,0.568489,high
00020800.json,126,63,5,43494.0,9,24,9,9,0.568425,high
00398996.json,124,62,5,37850.0,10,16,10,10,0.568148,high
00120707.json,112,56,6,28171.0,8,16,11,8,0.568138,high
00620033.json,132,66,5,48035.0,7,32,8,7,0.568101,high
00938470.json,108,54,6,28550.0,9,16,10,9,0.567941,high
00900244.json,120,60,6,38208.0,5,8,9,5,0.567928,high
00241923.json,110,55,6,33930.0,8,10,13,8,0.567927,high
00134211.json,118,59,6,32458.0,6,24,9,6,0.567534,high
00063509.json,120,60,6,26467.0,6,38,7,6,0.56749,high
00134405.json,112,56,6,27405.0,8,18,10,8,0.567294,high
00053130.json,108,54,6,50333.0,7,10,13,7,0.566945,high
00520915.json,130,65,5,41472.0,8,27,8,8,0.566812,high
00044039.json,114,57,6,32227.0,7,31,8,7,0.566665,high
00306585.json,134,67,5,29355.0,8,39,10,8,0.566574,high
00637684.json,106,53,6,33202.0,9,12,9,9,0.56651,high
00658356.json,104,52,6,49902.0,8,23,8,8,0.565855,high
00029952.json,130,65,5,29016.0,9,4,22,9,0.565585,high
00260914.json,106,53,6,32295.0,9,6,11,9,0.56551,high
00644613.json,134,67,5,27911.0,8,42,8,8,0.564982,high
00246765.json,110,55,6,31070.0,8,24,8,8,0.564775,high
00913323.json,114,57,6,30440.0,7,29,9,7,0.564696,high
00677793.json,116,58,6,47160.0,5,31,7,5,0.564678,high
00382086.json,124,62,5,34561.0,10,16,10,10,0.564524,high
00190401.json,124,62,5,57211.0,8,28,8,8,0.564484,high
00647293.json,106,53,6,42688.0,8,22,8,8,0.564463,high
00723683.json,110,55,6,30780.0,8,10,13,8,0.564455,high
00301416.json,116,58,6,24256.0,7,30,7,7,0.564438,high
00620103.json,118,59,6,40883.0,5,20,13,5,0.564318,high
00786679.json,126,63,5,39730.0,9,19,9,9,0.564277,high
00843852.json,114,57,6,30039.0,7,12,12,7,0.564254,high
00906422.json,120,60,6,34699.0,5,8,9,5,0.564061,high
00808912.json,110,55,6,30349.0,8,11,12,8,0.563981,high
00307426.json,124,62,5,45063.0,9,24,13,9,0.563597,high
00302822.json,128,64,5,55508.0,7,27,8,7,0.563222,high
00770397.json,126,63,5,38621.0,9,30,9,9,0.563055,high
00822359.json,132,66,5,32047.0,8,37,8,8,0.562983,high
00074444.json,112,56,6,34748.0,7,11,12,7,0.562886,high
00567577.json,110,55,6,29315.0,8,10,13,8,0.562841,high
00582870.json,128,64,5,32327.0,9,36,9,9,0.562677,high
00629002.json,124,62,5,55501.0,8,30,8,8,0.562599,high
00653569.json,114,57,6,28460.0,7,21,11,7,0.562514,high
00416969.json,132,66,5,31541.0,8,38,10,8,0.562425,high
00748437.json,132,66,5,31322.0,8,38,9,8,0.562184,high
00416968.json,132,66,5,31272.0,8,38,10,8,0.562129,high
00288532.json,116,58,6,22152.0,7,26,10,7,0.56212,high
00543421.json,118,59,6,38818.0,5,24,7,5,0.562043,high
00698218.json,132,66,5,31191.0,8,37,10,8,0.56204,high
00725240.json,114,57,6,27950.0,7,22,8,7,0.561952,high
00491937.json,124,62,5,54833.0,8,28,8,8,0.561863,high
00371741.json,126,63,5,37433.0,9,4,21,9,0.561746,high
00369482.json,130,65,5,25528.0,9,32,9,9,0.561742,high
00463296.json,104,52,6,34703.0,9,12,9,9,0.561606,high
00955924.json,126,63,5,37192.0,9,4,21,9,0.56148,high
00633622.json,130,65,5,36617.0,8,40,8,8,0.561462,high
00762193.json,120,60,5,54947.0,9,26,10,9,0.561374,high
00439575.json,114,57,6,38704.0,6,24,8,6,0.561302,high
00797501.json,106,53,6,28236.0,9,22,9,9,0.561037,high
00681776.json,126,63,5,36771.0,9,28,9,9,0.561016,high
00071405.json,118,59,6,26489.0,6,24,9,6,0.560956,high
00572747.json,114,57,6,26983.0,7,9,18,7,0.560886,high
00906598.json,126,63,5,36628.0,9,24,9,9,0.560859,high
00504552.json,118,59,6,26164.0,6,24,9,6,0.560598,high
00245187.json,118,59,6,26001.0,6,24,9,6,0.560419,high
00814488.json,108,54,6,33026.0,8,22,8,8,0.560373,high
00116668.json,118,59,6,25955.0,6,24,9,6,0.560368,high
00072778.json,114,57,6,26432.0,7,20,10,7,0.560279,high
00789510.json,120,60,6,42444.0,4,16,12,4,0.560096,high
00309521.json,118,59,6,25690.0,6,18,13,6,0.560076,high
00697172.json,118,59,6,25643.0,6,24,9,6,0.560024,high
00416967.json,132,66,5,29316.0,8,38,10,8,0.559973,high
00734264.json,110,55,6,26490.0,8,10,13,8,0.559728,high
00116671.json,118,59,6,25206.0,6,24,9,6,0.559543,high
00466990.json,118,59,6,25191.0,6,24,9,6,0.559526,high
00600345.json,108,54,6,43366.0,7,20,11,7,0.559268,high
00812004.json,118,59,6,24796.0,6,26,8,6,0.559091,high
00889958.json,128,64,5,40015.0,8,38,8,8,0.558649,high
00116662.json,118,59,6,24191.0,6,24,9,6,0.558424,high
00767399.json,126,63,5,34383.0,9,28,9,9,0.558385,high
00605250.json,104,52,6,31780.0,9,16,9,9,0.558385,high
00422443.json,116,58,6,30002.0,6,21,10,6,0.55827,high
00710826.json,112,56,6,30368.0,7,18,11,7,0.558059,high
00249201.json,126,63,5,33784.0,9,33,9,9,0.557725,high
00795849.json,118,59,6,34693.0,5,24,11,5,0.557497,high
00835423.json,110,55,6,35760.0,7,28,9,7,0.557443,high
00697287.json,112,56,6,41151.0,6,23,9,6,0.557442,high
