sample_id,image_count_in_cad,action_json_exists,example_image_paths
00003428,5,1,images/0000/00003428_3.png | images/0000/00003428_0.png | images/0000/00003428_4.png | images/0000/00003428_1.png | images/0000/00003428_2.png
00003443,5,1,images/0000/00003443_0.png | images/0000/00003443_4.png | images/0000/00003443_3.png | images/0000/00003443_2.png | images/0000/00003443_1.png
00003514,5,1,images/0000/00003514_0.png | images/0000/00003514_3.png | images/0000/00003514_1.png | images/0000/00003514_2.png | images/0000/00003514_4.png
00003587,5,1,images/0000/00003587_1.png | images/0000/00003587_4.png | images/0000/00003587_0.png | images/0000/00003587_3.png | images/0000/00003587_2.png
00003688,5,1,images/0000/00003688_4.png | images/0000/00003688_1.png | images/0000/00003688_3.png | images/0000/00003688_0.png | images/0000/00003688_2.png
00003689,5,1,images/0000/00003689_2.png | images/0000/00003689_3.png | images/0000/00003689_4.png | images/0000/00003689_0.png | images/0000/00003689_1.png
00003763,5,1,images/0000/00003763_0.png | images/0000/00003763_3.png | images/0000/00003763_4.png | images/0000/00003763_2.png | images/0000/00003763_1.png
00003775,5,1,images/0000/00003775_4.png | images/0000/00003775_0.png | images/0000/00003775_1.png | images/0000/00003775_2.png | images/0000/00003775_3.png
00003805,5,1,images/0000/00003805_0.png | images/0000/00003805_4.png | images/0000/00003805_1.png | images/0000/00003805_2.png | images/0000/00003805_3.png
00003810,5,1,images/0000/00003810_0.png | images/0000/00003810_1.png | images/0000/00003810_4.png | images/0000/00003810_2.png | images/0000/00003810_3.png
00003811,5,1,images/0000/00003811_1.png | images/0000/00003811_2.png | images/0000/00003811_3.png | images/0000/00003811_0.png | images/0000/00003811_4.png
00003823,5,1,images/0000/00003823_4.png | images/0000/00003823_2.png | images/0000/00003823_0.png | images/0000/00003823_1.png | images/0000/00003823_3.png
00003867,5,1,images/0000/00003867_0.png | images/0000/00003867_3.png | images/0000/00003867_4.png | images/0000/00003867_1.png | images/0000/00003867_2.png
00003877,5,1,images/0000/00003877_2.png | images/0000/00003877_3.png | images/0000/00003877_1.png | images/0000/00003877_4.png | images/0000/00003877_0.png
00003891,5,1,images/0000/00003891_3.png | images/0000/00003891_0.png | images/0000/00003891_1.png | images/0000/00003891_2.png | images/0000/00003891_4.png
00003954,5,1,images/0000/00003954_4.png | images/0000/00003954_0.png | images/0000/00003954_2.png | images/0000/00003954_1.png | images/0000/00003954_3.png
00003961,5,1,images/0000/00003961_3.png | images/0000/00003961_0.png | images/0000/00003961_1.png | images/0000/00003961_2.png | images/0000/00003961_4.png
00003988,5,1,images/0000/00003988_4.png | images/0000/00003988_0.png | images/0000/00003988_1.png | images/0000/00003988_2.png | images/0000/00003988_3.png
00003999,5,1,images/0000/00003999_0.png | images/0000/00003999_3.png | images/0000/00003999_4.png | images/0000/00003999_1.png | images/0000/00003999_2.png
00004033,5,1,images/0000/00004033_0.png | images/0000/00004033_1.png | images/0000/00004033_2.png | images/0000/00004033_3.png | images/0000/00004033_4.png
00004035,5,1,images/0000/00004035_0.png | images/0000/00004035_1.png | images/0000/00004035_2.png | images/0000/00004035_3.png | images/0000/00004035_4.png
00004043,5,1,images/0000/00004043_0.png | images/0000/00004043_1.png | images/0000/00004043_3.png | images/0000/00004043_2.png | images/0000/00004043_4.png
00004094,5,1,images/0000/00004094_1.png | images/0000/00004094_0.png | images/0000/00004094_2.png | images/0000/00004094_3.png | images/0000/00004094_4.png
00004114,5,1,images/0000/00004114_4.png | images/0000/00004114_2.png | images/0000/00004114_0.png | images/0000/00004114_1.png | images/0000/00004114_3.png
00004118,5,1,images/0000/00004118_2.png | images/0000/00004118_3.png | images/0000/00004118_1.png | images/0000/00004118_0.png | images/0000/00004118_4.png
00004126,5,1,images/0000/00004126_1.png | images/0000/00004126_3.png | images/0000/00004126_2.png | images/0000/00004126_4.png | images/0000/00004126_0.png
00004141,5,1,images/0000/00004141_0.png | images/0000/00004141_1.png | images/0000/00004141_3.png | images/0000/00004141_2.png | images/0000/00004141_4.png
00004252,5,1,images/0000/00004252_3.png | images/0000/00004252_4.png | images/0000/00004252_0.png | images/0000/00004252_1.png | images/0000/00004252_2.png
00004274,5,1,images/0000/00004274_2.png | images/0000/00004274_4.png | images/0000/00004274_3.png | images/0000/00004274_0.png | images/0000/00004274_1.png
00004276,5,1,images/0000/00004276_3.png | images/0000/00004276_0.png | images/0000/00004276_1.png | images/0000/00004276_4.png | images/0000/00004276_2.png
00004308,5,1,images/0000/00004308_1.png | images/0000/00004308_3.png | images/0000/00004308_4.png | images/0000/00004308_0.png | images/0000/00004308_2.png
00004320,5,1,images/0000/00004320_2.png | images/0000/00004320_0.png | images/0000/00004320_1.png | images/0000/00004320_3.png | images/0000/00004320_4.png
00004342,5,1,images/0000/00004342_0.png | images/0000/00004342_3.png | images/0000/00004342_1.png | images/0000/00004342_2.png | images/0000/00004342_4.png
00004348,5,1,images/0000/00004348_4.png | images/0000/00004348_0.png | images/0000/00004348_2.png | images/0000/00004348_3.png | images/0000/00004348_1.png
00004423,5,1,images/0000/00004423_4.png | images/0000/00004423_0.png | images/0000/00004423_2.png | images/0000/00004423_3.png | images/0000/00004423_1.png
00004529,5,1,images/0000/00004529_2.png | images/0000/00004529_0.png | images/0000/00004529_4.png | images/0000/00004529_1.png | images/0000/00004529_3.png
00004629,5,1,images/0000/00004629_3.png | images/0000/00004629_0.png | images/0000/00004629_2.png | images/0000/00004629_1.png | images/0000/00004629_4.png
00004688,5,1,images/0000/00004688_2.png | images/0000/00004688_4.png | images/0000/00004688_1.png | images/0000/00004688_0.png | images/0000/00004688_3.png
00004694,5,1,images/0000/00004694_1.png | images/0000/00004694_2.png | images/0000/00004694_0.png | images/0000/00004694_3.png | images/0000/00004694_4.png
00004700,5,1,images/0000/00004700_3.png | images/0000/00004700_0.png | images/0000/00004700_2.png | images/0000/00004700_4.png | images/0000/00004700_1.png
00004753,5,1,images/0000/00004753_0.png | images/0000/00004753_3.png | images/0000/00004753_4.png | images/0000/00004753_1.png | images/0000/00004753_2.png
00004917,5,1,images/0000/00004917_0.png | images/0000/00004917_1.png | images/0000/00004917_4.png | images/0000/00004917_2.png | images/0000/00004917_3.png
00004934,5,1,images/0000/00004934_1.png | images/0000/00004934_2.png | images/0000/00004934_4.png | images/0000/00004934_0.png | images/0000/00004934_3.png
00004935,5,1,images/0000/00004935_0.png | images/0000/00004935_4.png | images/0000/00004935_2.png | images/0000/00004935_3.png | images/0000/00004935_1.png
00005017,5,1,images/0000/00005017_4.png | images/0000/00005017_2.png | images/0000/00005017_3.png | images/0000/00005017_0.png | images/0000/00005017_1.png
00005041,5,1,images/0000/00005041_0.png | images/0000/00005041_3.png | images/0000/00005041_2.png | images/0000/00005041_1.png | images/0000/00005041_4.png
00005044,5,1,images/0000/00005044_4.png | images/0000/00005044_3.png | images/0000/00005044_0.png | images/0000/00005044_2.png | images/0000/00005044_1.png
00005049,5,1,images/0000/00005049_1.png | images/0000/00005049_3.png | images/0000/00005049_4.png | images/0000/00005049_0.png | images/0000/00005049_2.png
00005057,5,1,images/0000/00005057_0.png | images/0000/00005057_1.png | images/0000/00005057_2.png | images/0000/00005057_4.png | images/0000/00005057_3.png
00005081,5,1,images/0000/00005081_1.png | images/0000/00005081_3.png | images/0000/00005081_0.png | images/0000/00005081_2.png | images/0000/00005081_4.png
00005087,5,1,images/0000/00005087_3.png | images/0000/00005087_2.png | images/0000/00005087_1.png | images/0000/00005087_0.png | images/0000/00005087_4.png
00005115,5,1,images/0000/00005115_0.png | images/0000/00005115_1.png | images/0000/00005115_3.png | images/0000/00005115_2.png | images/0000/00005115_4.png
00005140,5,1,images/0000/00005140_3.png | images/0000/00005140_1.png | images/0000/00005140_4.png | images/0000/00005140_0.png | images/0000/00005140_2.png
00005161,5,1,images/0000/00005161_2.png | images/0000/00005161_1.png | images/0000/00005161_3.png | images/0000/00005161_0.png | images/0000/00005161_4.png
00005193,5,1,images/0000/00005193_4.png | images/0000/00005193_1.png | images/0000/00005193_0.png | images/0000/00005193_2.png | images/0000/00005193_3.png
00005196,5,1,images/0000/00005196_3.png | images/0000/00005196_4.png | images/0000/00005196_0.png | images/0000/00005196_1.png | images/0000/00005196_2.png
00005277,5,1,images/0000/00005277_0.png | images/0000/00005277_2.png | images/0000/00005277_1.png | images/0000/00005277_3.png | images/0000/00005277_4.png
00005312,5,1,images/0000/00005312_3.png | images/0000/00005312_4.png | images/0000/00005312_1.png | images/0000/00005312_2.png | images/0000/00005312_0.png
00005314,5,1,images/0000/00005314_0.png | images/0000/00005314_2.png | images/0000/00005314_1.png | images/0000/00005314_3.png | images/0000/00005314_4.png
00005316,5,1,images/0000/00005316_0.png | images/0000/00005316_3.png | images/0000/00005316_1.png | images/0000/00005316_2.png | images/0000/00005316_4.png
00005321,5,1,images/0000/00005321_1.png | images/0000/00005321_0.png | images/0000/00005321_2.png | images/0000/00005321_3.png | images/0000/00005321_4.png
00005338,5,1,images/0000/00005338_2.png | images/0000/00005338_1.png | images/0000/00005338_4.png | images/0000/00005338_0.png | images/0000/00005338_3.png
00005341,5,1,images/0000/00005341_1.png | images/0000/00005341_0.png | images/0000/00005341_2.png | images/0000/00005341_3.png | images/0000/00005341_4.png
00005343,5,1,images/0000/00005343_1.png | images/0000/00005343_3.png | images/0000/00005343_0.png | images/0000/00005343_2.png | images/0000/00005343_4.png
00005346,5,1,images/0000/00005346_2.png | images/0000/00005346_1.png | images/0000/00005346_0.png | images/0000/00005346_3.png | images/0000/00005346_4.png
00005355,5,1,images/0000/00005355_3.png | images/0000/00005355_1.png | images/0000/00005355_2.png | images/0000/00005355_0.png | images/0000/00005355_4.png
00005397,5,1,images/0000/00005397_2.png | images/0000/00005397_3.png | images/0000/00005397_4.png | images/0000/00005397_1.png | images/0000/00005397_0.png
00005418,5,1,images/0000/00005418_0.png | images/0000/00005418_3.png | images/0000/00005418_1.png | images/0000/00005418_2.png | images/0000/00005418_4.png
00005419,5,1,images/0000/00005419_0.png | images/0000/00005419_4.png | images/0000/00005419_3.png | images/0000/00005419_1.png | images/0000/00005419_2.png
00005463,5,1,images/0000/00005463_1.png | images/0000/00005463_2.png | images/0000/00005463_4.png | images/0000/00005463_0.png | images/0000/00005463_3.png
00005465,5,1,images/0000/00005465_3.png | images/0000/00005465_0.png | images/0000/00005465_1.png | images/0000/00005465_2.png | images/0000/00005465_4.png
00005466,5,1,images/0000/00005466_0.png | images/0000/00005466_1.png | images/0000/00005466_3.png | images/0000/00005466_4.png | images/0000/00005466_2.png
00005497,5,1,images/0000/00005497_3.png | images/0000/00005497_0.png | images/0000/00005497_1.png | images/0000/00005497_2.png | images/0000/00005497_4.png
00005545,5,1,images/0000/00005545_0.png | images/0000/00005545_1.png | images/0000/00005545_2.png | images/0000/00005545_3.png | images/0000/00005545_4.png
00005568,5,1,images/0000/00005568_1.png | images/0000/00005568_3.png | images/0000/00005568_4.png | images/0000/00005568_0.png | images/0000/00005568_2.png
00005569,5,1,images/0000/00005569_4.png | images/0000/00005569_1.png | images/0000/00005569_2.png | images/0000/00005569_0.png | images/0000/00005569_3.png
00005597,5,1,images/0000/00005597_2.png | images/0000/00005597_3.png | images/0000/00005597_1.png | images/0000/00005597_4.png | images/0000/00005597_0.png
00005609,5,1,images/0000/00005609_4.png | images/0000/00005609_2.png | images/0000/00005609_1.png | images/0000/00005609_0.png | images/0000/00005609_3.png
00005629,5,1,images/0000/00005629_2.png | images/0000/00005629_4.png | images/0000/00005629_0.png | images/0000/00005629_1.png | images/0000/00005629_3.png
00005689,5,1,images/0000/00005689_0.png | images/0000/00005689_2.png | images/0000/00005689_4.png | images/0000/00005689_3.png | images/0000/00005689_1.png
00005699,5,1,images/0000/00005699_1.png | images/0000/00005699_4.png | images/0000/00005699_0.png | images/0000/00005699_2.png | images/0000/00005699_3.png
00005734,5,1,images/0000/00005734_0.png | images/0000/00005734_3.png | images/0000/00005734_4.png | images/0000/00005734_1.png | images/0000/00005734_2.png
00005767,5,1,images/0000/00005767_0.png | images/0000/00005767_1.png | images/0000/00005767_2.png | images/0000/00005767_4.png | images/0000/00005767_3.png
00005780,5,1,images/0000/00005780_1.png | images/0000/00005780_3.png | images/0000/00005780_0.png | images/0000/00005780_2.png | images/0000/00005780_4.png
00005787,5,1,images/0000/00005787_4.png | images/0000/00005787_0.png | images/0000/00005787_2.png | images/0000/00005787_1.png | images/0000/00005787_3.png
00005807,5,1,images/0000/00005807_1.png | images/0000/00005807_2.png | images/0000/00005807_4.png | images/0000/00005807_0.png | images/0000/00005807_3.png
00005826,5,1,images/0000/00005826_0.png | images/0000/00005826_2.png | images/0000/00005826_3.png | images/0000/00005826_4.png | images/0000/00005826_1.png
00005852,5,1,images/0000/00005852_3.png | images/0000/00005852_4.png | images/0000/00005852_0.png | images/0000/00005852_1.png | images/0000/00005852_2.png
00005894,5,1,images/0000/00005894_0.png | images/0000/00005894_3.png | images/0000/00005894_4.png | images/0000/00005894_1.png | images/0000/00005894_2.png
00005899,5,1,images/0000/00005899_2.png | images/0000/00005899_3.png | images/0000/00005899_1.png | images/0000/00005899_4.png | images/0000/00005899_0.png
00005904,5,1,images/0000/00005904_0.png | images/0000/00005904_3.png | images/0000/00005904_2.png | images/0000/00005904_1.png | images/0000/00005904_4.png
00005916,5,1,images/0000/00005916_3.png | images/0000/00005916_2.png | images/0000/00005916_1.png | images/0000/00005916_4.png | images/0000/00005916_0.png
00005921,5,1,images/0000/00005921_0.png | images/0000/00005921_4.png | images/0000/00005921_1.png | images/0000/00005921_2.png | images/0000/00005921_3.png
00005929,5,1,images/0000/00005929_1.png | images/0000/00005929_2.png | images/0000/00005929_3.png | images/0000/00005929_0.png | images/0000/00005929_4.png
00005933,5,1,images/0000/00005933_1.png | images/0000/00005933_2.png | images/0000/00005933_3.png | images/0000/00005933_4.png | images/0000/00005933_0.png
00005984,5,1,images/0000/00005984_2.png | images/0000/00005984_0.png | images/0000/00005984_1.png | images/0000/00005984_4.png | images/0000/00005984_3.png
00006004,5,1,images/0000/00006004_2.png | images/0000/00006004_0.png | images/0000/00006004_1.png | images/0000/00006004_3.png | images/0000/00006004_4.png
00006291,5,1,images/0000/00006291_1.png | images/0000/00006291_2.png | images/0000/00006291_3.png | images/0000/00006291_0.png | images/0000/00006291_4.png
00006345,5,1,images/0000/00006345_0.png | images/0000/00006345_1.png | images/0000/00006345_4.png | images/0000/00006345_2.png | images/0000/00006345_3.png
00006383,5,1,images/0000/00006383_1.png | images/0000/00006383_0.png | images/0000/00006383_2.png | images/0000/00006383_4.png | images/0000/00006383_3.png
00006467,5,1,images/0000/00006467_3.png | images/0000/00006467_2.png | images/0000/00006467_4.png | images/0000/00006467_1.png | images/0000/00006467_0.png
00006475,5,1,images/0000/00006475_0.png | images/0000/00006475_4.png | images/0000/00006475_2.png | images/0000/00006475_3.png | images/0000/00006475_1.png
00006481,5,1,images/0000/00006481_0.png | images/0000/00006481_4.png | images/0000/00006481_1.png | images/0000/00006481_2.png | images/0000/00006481_3.png
00006487,5,1,images/0000/00006487_1.png | images/0000/00006487_0.png | images/0000/00006487_3.png | images/0000/00006487_4.png | images/0000/00006487_2.png
00006527,5,1,images/0000/00006527_4.png | images/0000/00006527_3.png | images/0000/00006527_1.png | images/0000/00006527_2.png | images/0000/00006527_0.png
00006608,5,1,images/0000/00006608_2.png | images/0000/00006608_3.png | images/0000/00006608_4.png | images/0000/00006608_1.png | images/0000/00006608_0.png
00006645,5,1,images/0000/00006645_4.png | images/0000/00006645_0.png | images/0000/00006645_1.png | images/0000/00006645_2.png | images/0000/00006645_3.png
00006669,5,1,images/0000/00006669_0.png | images/0000/00006669_1.png | images/0000/00006669_2.png | images/0000/00006669_3.png | images/0000/00006669_4.png
00006677,5,1,images/0000/00006677_1.png | images/0000/00006677_4.png | images/0000/00006677_2.png | images/0000/00006677_0.png | images/0000/00006677_3.png
00006682,5,1,images/0000/00006682_2.png | images/0000/00006682_3.png | images/0000/00006682_0.png | images/0000/00006682_1.png | images/0000/00006682_4.png
00006714,5,1,images/0000/00006714_4.png | images/0000/00006714_2.png | images/0000/00006714_3.png | images/0000/00006714_0.png | images/0000/00006714_1.png
00006798,5,1,images/0000/00006798_1.png | images/0000/00006798_0.png | images/0000/00006798_3.png | images/0000/00006798_4.png | images/0000/00006798_2.png
00006799,5,1,images/0000/00006799_2.png | images/0000/00006799_3.png | images/0000/00006799_1.png | images/0000/00006799_0.png | images/0000/00006799_4.png
00006814,5,1,images/0000/00006814_1.png | images/0000/00006814_3.png | images/0000/00006814_4.png | images/0000/00006814_2.png | images/0000/00006814_0.png
00006817,5,1,images/0000/00006817_1.png | images/0000/00006817_3.png | images/0000/00006817_4.png | images/0000/00006817_0.png | images/0000/00006817_2.png
00006875,5,1,images/0000/00006875_0.png | images/0000/00006875_1.png | images/0000/00006875_3.png | images/0000/00006875_4.png | images/0000/00006875_2.png
00006884,5,1,images/0000/00006884_3.png | images/0000/00006884_4.png | images/0000/00006884_0.png | images/0000/00006884_1.png | images/0000/00006884_2.png
00006885,5,1,images/0000/00006885_3.png | images/0000/00006885_1.png | images/0000/00006885_4.png | images/0000/00006885_0.png | images/0000/00006885_2.png
00006887,5,1,images/0000/00006887_4.png | images/0000/00006887_0.png | images/0000/00006887_1.png | images/0000/00006887_2.png | images/0000/00006887_3.png
00006889,5,1,images/0000/00006889_1.png | images/0000/00006889_2.png | images/0000/00006889_3.png | images/0000/00006889_4.png | images/0000/00006889_0.png
